,Gender,Age,Category,Quantity,Price,Payment_method,Datetime,Shopping_mall
113,Male,24,Clothing,5,1500.4,Credit Card,29/04/2022,Emaar Square Mall
114,Female,58,Food & Beverage,5,26.15,Credit Card,29/07/2022,Kanyon
115,Male,42,Cosmetics,5,203.3,Credit Card,6/12/22,Kanyon
116,Female,32,Clothing,1,300.08,Cash,4/5/21,Forum Istanbul
117,Male,45,Clothing,4,1200.32,Debit Card,18/07/2022,Metrocity
118,Male,18,Toys,5,179.2,Debit Card,16/11/2022,Istinye Park
119,Female,61,Clothing,1,300.08,Debit Card,14/04/2022,Kanyon
120,Female,39,Technology,5,5250.0,Credit Card,26/04/2022,Zorlu Center
121,Male,32,Toys,3,107.52,Credit Card,18/09/2022,Mall of Istanbul
122,Male,62,Toys,2,71.68,Credit Card,10/7/22,Zorlu Center
123,Female,51,Souvenir,2,23.46,Debit Card,6/3/22,Istinye Park
124,Male,65,Food & Beverage,1,5.23,Credit Card,6/12/21,Emaar Square Mall
125,Female,57,Food & Beverage,4,20.92,Cash,7/5/21,Mall of Istanbul
126,Male,24,Food & Beverage,4,20.92,Cash,11/1/21,Mall of Istanbul
127,Male,35,Food & Beverage,2,10.46,Debit Card,1/12/21,Metropol AVM
128,Female,26,Clothing,4,1200.32,Credit Card,12/3/21,Mall of Istanbul
129,Male,55,Toys,5,179.2,Cash,3/3/23,Mall of Istanbul
130,Male,26,Technology,2,2100.0,Debit Card,4/11/21,Viaport Outlet
131,Male,51,Technology,2,2100.0,Credit Card,22/04/2022,Istinye Park
132,Female,20,Clothing,3,900.24,Cash,2/3/22,Metrocity
133,Female,20,Food & Beverage,1,5.23,Credit Card,8/3/23,Kanyon
134,Female,69,Clothing,5,1500.4,Cash,15/11/2022,Metrocity
135,Male,61,Food & Beverage,4,20.92,Credit Card,30/07/2021,Metropol AVM
136,Male,56,Souvenir,5,58.65,Cash,13/11/2022,Metrocity
137,Male,66,Shoes,2,1200.34,Cash,25/04/2022,Metropol AVM
138,Male,63,Clothing,2,600.16,Cash,31/12/2021,Metrocity
139,Female,41,Shoes,2,1200.34,Cash,19/01/2023,Cevahir AVM
140,Female,37,Shoes,4,2400.68,Debit Card,10/10/22,Mall of Istanbul
141,Female,65,Food & Beverage,5,26.15,Credit Card,28/12/2021,Emaar Square Mall
142,Female,60,Cosmetics,3,121.98,Cash,7/6/21,Mall of Istanbul
143,Male,48,Clothing,4,1200.32,Credit Card,11/3/21,Emaar Square Mall
144,Male,29,Shoes,4,2400.68,Cash,1/7/22,Mall of Istanbul
145,Female,69,Technology,4,4200.0,Credit Card,22/11/2021,Zorlu Center
146,Female,51,Clothing,4,1200.32,Credit Card,12/1/23,Kanyon
147,Male,28,Cosmetics,1,40.66,Cash,30/03/2022,Zorlu Center
148,Female,59,Cosmetics,5,203.3,Cash,18/01/2021,Metrocity
149,Female,39,Clothing,2,600.16,Cash,29/12/2021,Viaport Outlet
150,Female,61,Books,4,60.6,Cash,23/05/2021,Mall of Istanbul
151,Female,47,Souvenir,1,11.73,Cash,10/2/23,Viaport Outlet
152,Male,68,Clothing,1,300.08,Debit Card,13/06/2021,Metrocity
153,Male,40,Shoes,2,1200.34,Cash,26/12/2022,Kanyon
154,Female,68,Shoes,2,1200.34,Cash,2/10/21,Forum Istanbul
155,Female,42,Clothing,5,1500.4,Credit Card,21/07/2021,Istinye Park
156,Female,48,Food & Beverage,3,15.69,Credit Card,30/08/2022,Istinye Park
157,Female,33,Books,2,30.3,Credit Card,14/12/2022,Kanyon
158,Male,34,Clothing,1,300.08,Debit Card,17/09/2022,Mall of Istanbul
159,Female,45,Clothing,4,1200.32,Credit Card,8/5/21,Kanyon
160,Female,21,Cosmetics,4,162.64,Cash,6/6/21,Metrocity
161,Female,18,Clothing,5,1500.4,Cash,6/6/22,Viaport Outlet
162,Male,44,Clothing,3,900.24,Credit Card,7/5/22,Cevahir AVM
163,Female,33,Shoes,3,1800.51,Credit Card,26/12/2022,Mall of Istanbul
164,Male,30,Clothing,2,600.16,Cash,30/09/2021,Istinye Park
165,Male,50,Clothing,5,1500.4,Cash,7/12/21,Metropol AVM
166,Female,23,Books,2,30.3,Cash,26/01/2023,Metrocity
167,Female,61,Clothing,2,600.16,Credit Card,12/4/22,Metrocity
168,Male,67,Technology,5,5250.0,Cash,9/8/21,Metropol AVM
169,Female,37,Food & Beverage,1,5.23,Credit Card,14/05/2022,Metrocity
170,Female,30,Clothing,2,600.16,Cash,27/01/2023,Kanyon
171,Female,34,Cosmetics,5,203.3,Cash,26/10/2022,Zorlu Center
172,Male,64,Shoes,4,2400.68,Credit Card,4/4/22,Kanyon
173,Female,26,Toys,2,71.68,Cash,9/2/23,Metropol AVM
174,Male,61,Clothing,3,900.24,Credit Card,6/4/22,Mall of Istanbul
175,Female,31,Clothing,5,1500.4,Cash,5/10/22,Istinye Park
176,Female,64,Food & Beverage,4,20.92,Cash,22/02/2021,Emaar Square Mall
177,Female,28,Toys,3,107.52,Debit Card,11/4/22,Metrocity
178,Male,32,Shoes,1,600.17,Debit Card,24/08/2022,Kanyon
179,Female,27,Clothing,4,1200.32,Credit Card,20/01/2022,Metrocity
180,Female,47,Clothing,2,600.16,Cash,9/4/21,Emaar Square Mall
181,Male,37,Clothing,3,900.24,Debit Card,19/02/2023,Cevahir AVM
182,Male,58,Toys,4,143.36,Credit Card,5/2/21,Metropol AVM
183,Female,42,Clothing,1,300.08,Credit Card,28/05/2022,Metropol AVM
184,Female,66,Food & Beverage,5,26.15,Cash,30/01/2022,Kanyon
185,Female,33,Clothing,1,300.08,Debit Card,1/11/22,Zorlu Center
186,Female,64,Cosmetics,3,121.98,Cash,17/10/2022,Metropol AVM
187,Female,63,Food & Beverage,3,15.69,Cash,22/01/2021,Mall of Istanbul
188,Female,30,Clothing,5,1500.4,Credit Card,4/11/22,Metrocity
189,Female,23,Cosmetics,2,81.32,Cash,6/6/21,Mall of Istanbul
190,Male,67,Clothing,3,900.24,Debit Card,21/04/2021,Istinye Park
191,Male,48,Technology,5,5250.0,Credit Card,19/10/2022,Istinye Park
192,Female,39,Clothing,2,600.16,Cash,5/11/22,Viaport Outlet
193,Male,69,Toys,2,71.68,Credit Card,14/01/2022,Mall of Istanbul
194,Male,23,Clothing,1,300.08,Debit Card,6/6/21,Emaar Square Mall
195,Male,41,Toys,1,35.84,Credit Card,24/03/2021,Istinye Park
196,Female,60,Clothing,3,900.24,Debit Card,23/10/2021,Istinye Park
197,Female,56,Clothing,2,600.16,Debit Card,24/06/2021,Metrocity
198,Male,48,Technology,1,1050.0,Debit Card,19/11/2022,Istinye Park
199,Female,24,Clothing,3,900.24,Debit Card,5/1/23,Metrocity
200,Male,63,Books,5,75.75,Credit Card,2/9/21,Kanyon
201,Female,24,Cosmetics,1,40.66,Cash,7/3/23,Metrocity
202,Male,33,Toys,3,107.52,Cash,25/03/2021,Metropol AVM
203,Female,50,Cosmetics,5,203.3,Credit Card,19/02/2021,Kanyon
204,Female,38,Clothing,3,900.24,Debit Card,16/09/2022,Metrocity
205,Female,56,Cosmetics,1,40.66,Cash,10/1/22,Metropol AVM
206,Male,32,Cosmetics,4,162.64,Cash,15/12/2021,Mall of Istanbul
207,Female,28,Food & Beverage,3,15.69,Cash,4/3/23,Metrocity
208,Female,21,Food & Beverage,1,5.23,Cash,18/02/2022,Metrocity
209,Female,63,Clothing,1,300.08,Cash,20/09/2021,Metrocity
210,Female,42,Clothing,5,1500.4,Credit Card,23/07/2022,Metrocity
211,Female,21,Clothing,2,600.16,Cash,11/9/22,Metropol AVM
212,Female,47,Clothing,2,600.16,Cash,21/08/2021,Mall of Istanbul
213,Male,48,Clothing,2,600.16,Cash,14/02/2021,Metrocity
214,Female,49,Clothing,3,900.24,Cash,18/06/2021,Forum Istanbul
215,Female,35,Technology,5,5250.0,Credit Card,29/12/2021,Mall of Istanbul
216,Male,66,Food & Beverage,1,5.23,Cash,8/10/21,Kanyon
217,Female,66,Clothing,5,1500.4,Cash,21/04/2021,Metropol AVM
218,Female,37,Food & Beverage,2,10.46,Credit Card,6/4/21,Metropol AVM
219,Female,35,Clothing,5,1500.4,Credit Card,29/01/2023,Zorlu Center
220,Male,54,Books,3,45.45,Cash,30/05/2022,Emaar Square Mall
221,Female,26,Clothing,3,900.24,Cash,2/1/23,Kanyon
222,Male,29,Clothing,5,1500.4,Credit Card,2/11/22,Mall of Istanbul
223,Female,53,Clothing,4,1200.32,Cash,15/02/2023,Istinye Park
224,Female,51,Clothing,1,300.08,Debit Card,23/09/2022,Forum Istanbul
225,Female,68,Shoes,1,600.17,Cash,19/07/2022,Istinye Park
226,Female,44,Shoes,1,600.17,Debit Card,27/01/2022,Metrocity
227,Female,62,Clothing,5,1500.4,Credit Card,14/11/2021,Cevahir AVM
228,Female,66,Food & Beverage,4,20.92,Cash,5/9/21,Metropol AVM
229,Female,39,Food & Beverage,5,26.15,Cash,24/04/2022,Mall of Istanbul
230,Male,50,Cosmetics,5,203.3,Cash,22/09/2022,Metropol AVM
231,Male,21,Toys,3,107.52,Debit Card,30/05/2022,Metrocity
232,Male,58,Clothing,1,300.08,Debit Card,14/07/2022,Metrocity
233,Female,41,Food & Beverage,4,20.92,Credit Card,17/06/2022,Metrocity
234,Female,63,Clothing,4,1200.32,Credit Card,6/1/23,Mall of Istanbul
235,Female,56,Cosmetics,5,203.3,Cash,24/11/2021,Metropol AVM
236,Male,47,Shoes,3,1800.51,Credit Card,30/11/2022,Kanyon
237,Female,20,Clothing,3,900.24,Credit Card,16/01/2022,Mall of Istanbul
238,Male,58,Souvenir,3,35.19,Credit Card,26/01/2022,Metrocity
239,Female,63,Books,4,60.6,Credit Card,9/1/22,Mall of Istanbul
240,Female,30,Shoes,4,2400.68,Credit Card,2/11/22,Cevahir AVM
241,Female,41,Clothing,5,1500.4,Credit Card,3/5/21,Emaar Square Mall
242,Male,32,Toys,4,143.36,Debit Card,17/02/2022,Zorlu Center
243,Male,68,Books,5,75.75,Cash,3/5/22,Cevahir AVM
244,Male,43,Toys,1,35.84,Cash,12/1/23,Emaar Square Mall
245,Male,24,Food & Beverage,2,10.46,Cash,24/09/2021,Emaar Square Mall
246,Male,55,Food & Beverage,3,15.69,Credit Card,24/09/2022,Forum Istanbul
247,Male,28,Toys,4,143.36,Debit Card,21/05/2021,Viaport Outlet
248,Female,30,Clothing,2,600.16,Credit Card,2/5/21,Kanyon
249,Female,67,Clothing,4,1200.32,Cash,14/02/2021,Mall of Istanbul
250,Female,23,Souvenir,5,58.65,Credit Card,19/09/2022,Zorlu Center
251,Female,23,Cosmetics,4,162.64,Credit Card,3/1/23,Viaport Outlet
252,Male,49,Clothing,1,300.08,Credit Card,31/03/2022,Cevahir AVM
253,Female,21,Shoes,4,2400.68,Cash,14/04/2021,Kanyon
254,Female,56,Souvenir,2,23.46,Credit Card,28/12/2021,Zorlu Center
255,Male,42,Cosmetics,2,81.32,Credit Card,8/1/21,Mall of Istanbul
256,Female,26,Shoes,3,1800.51,Credit Card,25/08/2021,Istinye Park
257,Female,50,Cosmetics,3,121.98,Cash,29/12/2022,Istinye Park
258,Female,59,Shoes,1,600.17,Debit Card,22/10/2022,Metropol AVM
259,Female,25,Clothing,2,600.16,Credit Card,11/11/22,Mall of Istanbul
260,Female,41,Food & Beverage,1,5.23,Cash,10/1/21,Cevahir AVM
261,Male,62,Clothing,3,900.24,Cash,25/06/2022,Emaar Square Mall
262,Male,61,Clothing,2,600.16,Credit Card,8/10/21,Istinye Park
263,Female,57,Cosmetics,4,162.64,Cash,28/07/2022,Cevahir AVM
264,Female,53,Cosmetics,3,121.98,Debit Card,14/08/2021,Metropol AVM
265,Female,62,Toys,3,107.52,Credit Card,1/1/23,Kanyon
266,Female,41,Cosmetics,4,162.64,Cash,1/7/22,Metrocity
267,Female,50,Toys,2,71.68,Credit Card,3/7/22,Istinye Park
268,Male,64,Shoes,1,600.17,Credit Card,26/10/2021,Emaar Square Mall
269,Male,39,Clothing,2,600.16,Credit Card,26/01/2023,Viaport Outlet
270,Male,54,Food & Beverage,5,26.15,Credit Card,1/3/23,Zorlu Center
271,Female,24,Shoes,5,3000.85,Cash,7/8/21,Viaport Outlet
272,Male,44,Cosmetics,3,121.98,Cash,30/06/2021,Kanyon
273,Female,31,Clothing,4,1200.32,Credit Card,28/11/2021,Kanyon
274,Female,56,Toys,3,107.52,Cash,4/2/21,Metropol AVM
275,Female,66,Cosmetics,4,162.64,Cash,26/02/2022,Istinye Park
276,Female,63,Toys,4,143.36,Credit Card,9/3/22,Viaport Outlet
277,Female,24,Technology,4,4200.0,Cash,21/10/2021,Metrocity
278,Male,30,Food & Beverage,4,20.92,Debit Card,1/1/21,Viaport Outlet
279,Female,23,Cosmetics,5,203.3,Credit Card,12/10/22,Mall of Istanbul
280,Male,25,Clothing,3,900.24,Credit Card,26/08/2022,Emaar Square Mall
281,Female,61,Toys,2,71.68,Credit Card,22/09/2021,Metrocity
282,Male,18,Clothing,3,900.24,Credit Card,1/10/21,Metrocity
283,Male,65,Clothing,3,900.24,Credit Card,24/03/2022,Metrocity
284,Male,33,Toys,5,179.2,Cash,10/7/21,Kanyon
285,Female,53,Clothing,1,300.08,Cash,20/06/2021,Mall of Istanbul
286,Female,34,Souvenir,1,11.73,Credit Card,19/11/2021,Cevahir AVM
287,Female,68,Toys,2,71.68,Cash,18/12/2021,Metropol AVM
288,Male,38,Toys,4,143.36,Credit Card,28/05/2021,Zorlu Center
289,Male,26,Toys,1,35.84,Cash,9/7/22,Forum Istanbul
290,Female,34,Clothing,3,900.24,Cash,15/10/2021,Kanyon
291,Female,63,Food & Beverage,1,5.23,Credit Card,19/06/2022,Istinye Park
292,Female,22,Technology,1,1050.0,Credit Card,5/4/21,Mall of Istanbul
293,Female,35,Clothing,5,1500.4,Cash,30/05/2021,Metrocity
294,Male,40,Clothing,5,1500.4,Cash,16/09/2021,Metropol AVM
295,Male,49,Clothing,1,300.08,Cash,10/7/21,Viaport Outlet
296,Male,63,Clothing,3,900.24,Credit Card,10/12/22,Kanyon
297,Female,52,Food & Beverage,5,26.15,Debit Card,10/3/22,Mall of Istanbul
298,Female,52,Cosmetics,5,203.3,Cash,26/12/2021,Viaport Outlet
299,Female,51,Clothing,2,600.16,Credit Card,19/03/2021,Kanyon
300,Female,36,Clothing,2,600.16,Debit Card,20/09/2021,Metrocity
301,Female,27,Books,1,15.15,Cash,2/9/22,Metrocity
302,Female,32,Clothing,1,300.08,Credit Card,10/9/22,Forum Istanbul
303,Female,59,Clothing,4,1200.32,Debit Card,21/07/2021,Kanyon
304,Female,37,Books,4,60.6,Credit Card,26/01/2023,Metrocity
305,Male,58,Shoes,2,1200.34,Debit Card,16/07/2021,Mall of Istanbul
306,Male,66,Souvenir,2,23.46,Cash,7/3/22,Kanyon
307,Male,35,Toys,3,107.52,Credit Card,9/11/22,Mall of Istanbul
308,Female,44,Food & Beverage,2,10.46,Credit Card,15/03/2022,Mall of Istanbul
309,Male,40,Toys,1,35.84,Debit Card,23/09/2021,Kanyon
310,Female,32,Cosmetics,4,162.64,Credit Card,1/9/22,Kanyon
311,Male,59,Toys,4,143.36,Cash,26/02/2023,Kanyon
312,Female,28,Souvenir,5,58.65,Credit Card,22/04/2022,Mall of Istanbul
313,Male,65,Cosmetics,1,40.66,Credit Card,10/10/21,Metropol AVM
314,Female,24,Food & Beverage,5,26.15,Credit Card,13/04/2021,Metrocity
315,Male,46,Technology,4,4200.0,Cash,22/01/2022,Cevahir AVM
316,Female,45,Souvenir,1,11.73,Cash,17/05/2022,Metropol AVM
317,Male,54,Shoes,5,3000.85,Credit Card,20/06/2022,Mall of Istanbul
318,Female,51,Cosmetics,5,203.3,Credit Card,16/04/2022,Emaar Square Mall
319,Male,54,Toys,3,107.52,Credit Card,3/1/23,Metropol AVM
320,Male,65,Shoes,2,1200.34,Cash,20/09/2021,Kanyon
321,Female,64,Clothing,4,1200.32,Credit Card,7/2/21,Metropol AVM
322,Male,20,Toys,3,107.52,Debit Card,30/10/2022,Kanyon
323,Female,52,Shoes,2,1200.34,Cash,5/8/21,Kanyon
324,Male,69,Toys,4,143.36,Cash,20/01/2021,Mall of Istanbul
325,Male,44,Clothing,5,1500.4,Cash,1/7/22,Mall of Istanbul
326,Female,58,Toys,1,35.84,Credit Card,9/3/22,Zorlu Center
327,Female,42,Clothing,5,1500.4,Credit Card,10/11/22,Kanyon
328,Female,54,Clothing,1,300.08,Credit Card,13/03/2021,Cevahir AVM
329,Male,34,Shoes,3,1800.51,Debit Card,24/07/2022,Mall of Istanbul
330,Male,60,Books,5,75.75,Credit Card,18/08/2022,Emaar Square Mall
331,Male,59,Souvenir,5,58.65,Cash,16/08/2021,Kanyon
332,Female,35,Clothing,5,1500.4,Debit Card,14/11/2022,Mall of Istanbul
333,Female,47,Food & Beverage,4,20.92,Cash,12/2/22,Viaport Outlet
334,Male,60,Cosmetics,4,162.64,Debit Card,24/01/2021,Mall of Istanbul
335,Male,41,Shoes,2,1200.34,Debit Card,23/01/2021,Emaar Square Mall
336,Male,55,Clothing,5,1500.4,Cash,13/08/2021,Mall of Istanbul
337,Female,35,Clothing,5,1500.4,Cash,2/2/23,Mall of Istanbul
338,Male,69,Toys,2,71.68,Cash,29/07/2021,Mall of Istanbul
339,Female,40,Food & Beverage,3,15.69,Credit Card,9/2/23,Kanyon
340,Female,57,Cosmetics,4,162.64,Credit Card,21/07/2022,Kanyon
341,Male,34,Food & Beverage,3,15.69,Cash,15/12/2021,Cevahir AVM
342,Female,29,Clothing,3,900.24,Cash,31/01/2022,Mall of Istanbul
343,Female,41,Food & Beverage,1,5.23,Credit Card,8/4/22,Istinye Park
344,Male,57,Clothing,1,300.08,Credit Card,29/04/2021,Mall of Istanbul
345,Male,32,Cosmetics,5,203.3,Credit Card,19/10/2022,Metrocity
346,Female,37,Clothing,3,900.24,Cash,16/08/2022,Metropol AVM
347,Male,30,Cosmetics,1,40.66,Credit Card,8/10/21,Viaport Outlet
348,Male,22,Clothing,4,1200.32,Cash,9/9/21,Cevahir AVM
349,Female,35,Clothing,1,300.08,Debit Card,11/9/21,Metropol AVM
350,Male,52,Shoes,1,600.17,Debit Card,18/06/2022,Istinye Park
351,Female,49,Toys,2,71.68,Credit Card,6/11/21,Metrocity
352,Female,55,Clothing,2,600.16,Cash,10/8/21,Metropol AVM
353,Male,19,Toys,2,71.68,Cash,18/02/2023,Kanyon
354,Female,65,Clothing,2,600.16,Credit Card,10/7/22,Forum Istanbul
355,Male,69,Food & Beverage,4,20.92,Credit Card,25/08/2021,Zorlu Center
356,Female,27,Cosmetics,1,40.66,Debit Card,19/09/2022,Emaar Square Mall
357,Male,66,Technology,3,3150.0,Credit Card,21/05/2022,Istinye Park
358,Male,25,Food & Beverage,5,26.15,Cash,28/06/2022,Emaar Square Mall
359,Male,46,Clothing,1,300.08,Cash,23/07/2022,Metropol AVM
360,Female,27,Clothing,3,900.24,Cash,21/11/2021,Metrocity
361,Female,66,Souvenir,5,58.65,Credit Card,1/8/22,Emaar Square Mall
362,Male,47,Clothing,3,900.24,Cash,28/03/2022,Viaport Outlet
