invoice_no,customer_id,gender, age ,category,quantity,Price,payment_method,invoice_date,shopping_mall
I264791,C457624,Female,62,Clothing,4,1200.32,Credit Card,19/03/2021,Forum Istanbul
I159531,C179188,Male,57,Clothing,3,900.24,Debit Card,24/05/2021,Kanyon
I752642,C201795,Male,19,Toys,2,71.68,Cash,25/07/2022,Mall of Istanbul
I865377,C238969,Female,40,Food & Beverage,2,10.46,Cash,8/8/22,Mall of Istanbul
I179329,C313005,Female,50,Technology,2,2100.0,Credit Card,21/12/2022,Metrocity
I316221,C232425,Female,45,Food & Beverage,4,20.92,Debit Card,4/11/21,Metrocity
I290361,C301903,Female,40,Books,4,60.6,Credit Card,16/12/2022,Kanyon
I300341,C945451,Female,56,Clothing,5,1500.4,Credit Card,16/07/2021,Mall of Istanbul
I331472,C288939,Male,23,Clothing,2,600.16,Cash,13/02/2022,Kanyon
I284873,C312212,Male,67,Clothing,1,300.08,Cash,14/07/2022,Mall of Istanbul
I949996,C298410,Female,63,Books,2,30.3,Debit Card,26/03/2022,Istinye Park
I947598,C849768,Male,41,Clothing,4,1200.32,Debit Card,21/01/2021,Mall of Istanbul
I278026,C853010,Female,21,Books,4,60.6,Debit Card,2/8/21,Mall of Istanbul
I227098,C241135,Female,50,Clothing,4,1200.32,Credit Card,30/11/2021,Kanyon
I175350,C220051,Female,48,Clothing,1,300.08,Cash,24/02/2021,Kanyon
I211333,C160086,Female,22,Clothing,1,300.08,Cash,18/03/2022,Kanyon
I779872,C329891,Female,46,Food & Beverage,4,20.92,Cash,5/6/21,Mall of Istanbul
I380717,C128583,Male,36,Cosmetics,4,162.64,Debit Card,19/08/2022,Emaar Square Mall
I203504,C340170,Male,38,Technology,5,5250.0,Cash,14/04/2022,Kanyon
I134489,C277617,Female,52,Clothing,2,600.16,Cash,23/07/2021,Metropol AVM
I335326,C289946,Male,59,Clothing,2,600.16,Debit Card,30/08/2022,Metropol AVM
I305804,C190781,Female,37,Shoes,4,2400.68,Cash,4/8/22,Metropol AVM
I981620,C974193,Male,50,Toys,4,143.36,Credit Card,10/3/22,Mall of Istanbul
I270045,C113061,Female,19,Shoes,5,3000.85,Cash,7/6/22,Mall of Istanbul
I133545,C931477,Female,67,Shoes,3,1800.51,Cash,17/02/2022,Metropol AVM
I165265,C240771,Female,24,Souvenir,1,11.73,Cash,14/11/2021,Metrocity
I250875,C150302,Male,46,Technology,4,4200.0,Credit Card,27/12/2022,Cevahir AVM
I595561,C332048,Male,56,Food & Beverage,4,20.92,Cash,9/3/21,Kanyon
I727597,C149969,Female,27,Toys,1,35.84,Credit Card,4/4/22,Mall of Istanbul
I193704,C336281,Female,55,Cosmetics,3,121.98,Credit Card,6/12/22,Metrocity
I132823,C130548,Male,29,Shoes,2,1200.34,Debit Card,26/10/2021,Metrocity
I825696,C467432,Female,53,Souvenir,4,46.92,Credit Card,30/05/2021,Kanyon
I301462,C202319,Female,34,Food & Beverage,2,10.46,Cash,8/4/21,Emaar Square Mall
I196298,C392606,Female,27,Toys,4,143.36,Cash,18/11/2022,Cevahir AVM
I204280,C192610,Female,58,Cosmetics,4,162.64,Cash,24/02/2023,Kanyon
I146364,C106079,Female,36,Cosmetics,5,203.3,Cash,9/3/21,Zorlu Center
I774131,C232925,Male,24,Cosmetics,3,121.98,Credit Card,26/09/2021,Mall of Istanbul
I217473,C214395,Female,58,Clothing,3,900.24,Cash,10/10/22,Metrocity
I262126,C148357,Male,47,Shoes,2,1200.34,Credit Card,15/12/2021,Kanyon
I338780,C481875,Male,64,Clothing,3,900.24,Cash,2/2/23,Zorlu Center
I198514,C553533,Male,62,Food & Beverage,5,26.15,Cash,23/05/2022,Mall of Istanbul
I303086,C879928,Female,47,Books,4,60.6,Debit Card,11/9/22,Metropol AVM
I809066,C249341,Male,29,Clothing,5,1500.4,Debit Card,13/02/2022,Kanyon
I316641,C189212,Male,50,Clothing,3,900.24,Cash,18/09/2021,Metropol AVM
I602367,C315654,Female,64,Technology,3,3150.0,Cash,6/1/22,Cevahir AVM
I251683,C961540,Female,63,Clothing,3,900.24,Credit Card,14/04/2021,Metropol AVM
I333957,C999318,Female,44,Clothing,4,1200.32,Cash,26/04/2021,Istinye Park
I398617,C130077,Male,23,Technology,4,4200.0,Credit Card,10/5/22,Metrocity
I156417,C126806,Male,57,Toys,2,71.68,Debit Card,12/5/22,Metropol AVM
I306655,C117709,Female,69,Technology,2,2100.0,Debit Card,14/01/2023,Mall of Istanbul
I176381,C184601,Male,48,Clothing,2,600.16,Cash,11/4/21,Zorlu Center
I195133,C314954,Female,44,Clothing,2,600.16,Cash,9/8/22,Mall of Istanbul
I133991,C119039,Male,65,Souvenir,5,58.65,Cash,11/10/21,Kanyon
I107460,C394889,Female,18,Shoes,1,600.17,Cash,17/09/2022,Metropol AVM
I698667,C547726,Female,37,Food & Beverage,5,26.15,Credit Card,30/07/2022,Mall of Istanbul
I659549,C203795,Male,63,Clothing,5,1500.4,Credit Card,2/5/22,Metrocity
I425992,C159614,Male,63,Toys,2,71.68,Cash,26/09/2022,Cevahir AVM
I206978,C191464,Male,68,Clothing,1,300.08,Cash,13/06/2021,Metrocity
I131431,C627115,Female,51,Clothing,5,1500.4,Cash,1/5/22,Emaar Square Mall
I690685,C101238,Female,22,Books,1,15.15,Credit Card,22/11/2022,Zorlu Center
I130857,C308754,Male,18,Clothing,1,300.08,Cash,11/10/21,Metropol AVM
I296263,C955596,Male,24,Clothing,5,1500.4,Credit Card,29/04/2022,Emaar Square Mall
I906237,C261720,Female,58,Food & Beverage,5,26.15,Credit Card,29/07/2022,Kanyon
I804697,C151047,Male,42,Cosmetics,5,203.3,Credit Card,6/12/22,Kanyon
I879059,C189146,Female,32,Clothing,1,300.08,Cash,4/5/21,Forum Istanbul
I299807,C204214,Male,45,Clothing,4,1200.32,Debit Card,18/07/2022,Metrocity
I255360,C292372,Male,18,Toys,5,179.2,Debit Card,16/11/2022,Istinye Park
I461475,C232789,Female,61,Clothing,1,300.08,Debit Card,14/04/2022,Kanyon
I249941,C172759,Female,39,Technology,5,5250.0,Credit Card,26/04/2022,Zorlu Center
I153837,C104357,Male,32,Toys,3,107.52,Credit Card,18/09/2022,Mall of Istanbul
I208980,C118816,Male,62,Toys,2,71.68,Credit Card,10/7/22,Zorlu Center
I169353,C243229,Female,51,Souvenir,2,23.46,Debit Card,6/3/22,Istinye Park
I555002,C219578,Male,65,Food & Beverage,1,5.23,Credit Card,6/12/21,Emaar Square Mall
I140309,C867083,Female,57,Food & Beverage,4,20.92,Cash,7/5/21,Mall of Istanbul
I739106,C445482,Male,24,Food & Beverage,4,20.92,Cash,11/1/21,Mall of Istanbul
I120878,C286153,Male,35,Food & Beverage,2,10.46,Debit Card,1/12/21,Metropol AVM
I221561,C258168,Female,26,Clothing,4,1200.32,Credit Card,12/3/21,Mall of Istanbul
I208461,C251302,Male,55,Toys,5,179.2,Cash,3/3/23,Mall of Istanbul
I214283,C132208,Male,26,Technology,2,2100.0,Debit Card,4/11/21,Viaport Outlet
I272805,C238366,Male,51,Technology,2,2100.0,Credit Card,22/04/2022,Istinye Park
I162243,C279476,Female,20,Clothing,3,900.24,Cash,2/3/22,Metrocity
I345170,C108141,Female,20,Food & Beverage,1,5.23,Credit Card,8/3/23,Kanyon
I662440,C298258,Female,69,Clothing,5,1500.4,Cash,15/11/2022,Metrocity
I129740,C765342,Male,61,Food & Beverage,4,20.92,Credit Card,30/07/2021,Metropol AVM
I214747,C167432,Male,56,Souvenir,5,58.65,Cash,13/11/2022,Metrocity
I147475,C234027,Male,66,Shoes,2,1200.34,Cash,25/04/2022,Metropol AVM
I340237,C807644,Male,63,Clothing,2,600.16,Cash,31/12/2021,Metrocity
I269764,C329708,Female,41,Shoes,2,1200.34,Cash,19/01/2023,Cevahir AVM
I191425,C113156,Female,37,Shoes,4,2400.68,Debit Card,10/10/22,Mall of Istanbul
I297152,C994812,Female,65,Food & Beverage,5,26.15,Credit Card,28/12/2021,Emaar Square Mall
I309404,C454601,Female,60,Cosmetics,3,121.98,Cash,7/6/21,Mall of Istanbul
I152931,C524557,Male,48,Clothing,4,1200.32,Credit Card,11/3/21,Emaar Square Mall
I439415,C974519,Male,29,Shoes,4,2400.68,Cash,1/7/22,Mall of Istanbul
I518160,C262782,Female,69,Technology,4,4200.0,Credit Card,22/11/2021,Zorlu Center
I146582,C108801,Female,51,Clothing,4,1200.32,Credit Card,12/1/23,Kanyon
I275575,C474974,Male,28,Cosmetics,1,40.66,Cash,30/03/2022,Zorlu Center
I368860,C216734,Female,59,Cosmetics,5,203.3,Cash,18/01/2021,Metrocity
I317029,C119806,Female,39,Clothing,2,600.16,Cash,29/12/2021,Viaport Outlet
I733440,C289682,Female,61,Books,4,60.6,Cash,23/05/2021,Mall of Istanbul
I243127,C289010,Female,47,Souvenir,1,11.73,Cash,10/2/23,Viaport Outlet
I220493,C210125,Male,68,Clothing,1,300.08,Debit Card,13/06/2021,Metrocity
I293449,C203834,Male,40,Shoes,2,1200.34,Cash,26/12/2022,Kanyon
I481099,C307945,Female,68,Shoes,2,1200.34,Cash,2/10/21,Forum Istanbul
I322142,C297283,Female,42,Clothing,5,1500.4,Credit Card,21/07/2021,Istinye Park
I283261,C184923,Female,48,Food & Beverage,3,15.69,Credit Card,30/08/2022,Istinye Park
I669258,C136891,Female,33,Books,2,30.3,Credit Card,14/12/2022,Kanyon
I977862,C278755,Male,34,Clothing,1,300.08,Debit Card,17/09/2022,Mall of Istanbul
I871577,C263638,Female,45,Clothing,4,1200.32,Credit Card,8/5/21,Kanyon
I186972,C192406,Female,21,Cosmetics,4,162.64,Cash,6/6/21,Metrocity
I745323,C179172,Female,18,Clothing,5,1500.4,Cash,6/6/22,Viaport Outlet
I123967,C261920,Male,44,Clothing,3,900.24,Credit Card,7/5/22,Cevahir AVM
I605718,C274079,Female,33,Shoes,3,1800.51,Credit Card,26/12/2022,Mall of Istanbul
I249164,C296457,Male,30,Clothing,2,600.16,Cash,30/09/2021,Istinye Park
I148402,C132924,Male,50,Clothing,5,1500.4,Cash,7/12/21,Metropol AVM
I228211,C203994,Female,23,Books,2,30.3,Cash,26/01/2023,Metrocity
I219853,C150390,Female,61,Clothing,2,600.16,Credit Card,12/4/22,Metrocity
I471793,C282380,Male,67,Technology,5,5250.0,Cash,9/8/21,Metropol AVM
I275453,C659287,Female,37,Food & Beverage,1,5.23,Credit Card,14/05/2022,Metrocity
I230583,C143391,Female,30,Clothing,2,600.16,Cash,27/01/2023,Kanyon
I313004,C976607,Female,34,Cosmetics,5,203.3,Cash,26/10/2022,Zorlu Center
I315480,C721884,Male,64,Shoes,4,2400.68,Credit Card,4/4/22,Kanyon
I321969,C965540,Female,26,Toys,2,71.68,Cash,9/2/23,Metropol AVM
I244607,C164316,Male,61,Clothing,3,900.24,Credit Card,6/4/22,Mall of Istanbul
I245079,C200469,Female,31,Clothing,5,1500.4,Cash,5/10/22,Istinye Park
I324339,C188155,Female,64,Food & Beverage,4,20.92,Cash,22/02/2021,Emaar Square Mall
I271672,C577102,Female,28,Toys,3,107.52,Debit Card,11/4/22,Metrocity
I157110,C228019,Male,32,Shoes,1,600.17,Debit Card,24/08/2022,Kanyon
I480347,C710872,Female,27,Clothing,4,1200.32,Credit Card,20/01/2022,Metrocity
I584077,C179049,Female,47,Clothing,2,600.16,Cash,9/4/21,Emaar Square Mall
I269779,C435183,Male,37,Clothing,3,900.24,Debit Card,19/02/2023,Cevahir AVM
I247034,C160000,Male,58,Toys,4,143.36,Credit Card,5/2/21,Metropol AVM
I183524,C392986,Female,42,Clothing,1,300.08,Credit Card,28/05/2022,Metropol AVM
I247601,C273630,Female,66,Food & Beverage,5,26.15,Cash,30/01/2022,Kanyon
I230459,C347467,Female,33,Clothing,1,300.08,Debit Card,1/11/22,Zorlu Center
I221787,C317049,Female,64,Cosmetics,3,121.98,Cash,17/10/2022,Metropol AVM
I138827,C260274,Female,63,Food & Beverage,3,15.69,Cash,22/01/2021,Mall of Istanbul
I815800,C306288,Female,30,Clothing,5,1500.4,Credit Card,4/11/22,Metrocity
I307558,C706697,Female,23,Cosmetics,2,81.32,Cash,6/6/21,Mall of Istanbul
I126069,C249216,Male,67,Clothing,3,900.24,Debit Card,21/04/2021,Istinye Park
I216112,C100168,Male,48,Technology,5,5250.0,Credit Card,19/10/2022,Istinye Park
I257114,C841037,Female,39,Clothing,2,600.16,Cash,5/11/22,Viaport Outlet
I333732,C193616,Male,69,Toys,2,71.68,Credit Card,14/01/2022,Mall of Istanbul
I140692,C281454,Male,23,Clothing,1,300.08,Debit Card,6/6/21,Emaar Square Mall
I290637,C615868,Male,41,Toys,1,35.84,Credit Card,24/03/2021,Istinye Park
I595425,C597755,Female,60,Clothing,3,900.24,Debit Card,23/10/2021,Istinye Park
I201190,C468926,Female,56,Clothing,2,600.16,Debit Card,24/06/2021,Metrocity
I650273,C450762,Male,48,Technology,1,1050.0,Debit Card,19/11/2022,Istinye Park
I128484,C211251,Female,24,Clothing,3,900.24,Debit Card,5/1/23,Metrocity
I103967,C257754,Male,63,Books,5,75.75,Credit Card,2/9/21,Kanyon
I244765,C294095,Female,24,Cosmetics,1,40.66,Cash,7/3/23,Metrocity
I253085,C107364,Male,33,Toys,3,107.52,Cash,25/03/2021,Metropol AVM
I158354,C691412,Female,50,Cosmetics,5,203.3,Credit Card,19/02/2021,Kanyon
I316056,C247455,Female,38,Clothing,3,900.24,Debit Card,16/09/2022,Metrocity
I131368,C870109,Female,56,Cosmetics,1,40.66,Cash,10/1/22,Metropol AVM
I262547,C794497,Male,32,Cosmetics,4,162.64,Cash,15/12/2021,Mall of Istanbul
I295190,C318934,Female,28,Food & Beverage,3,15.69,Cash,4/3/23,Metrocity
I294413,C111946,Female,21,Food & Beverage,1,5.23,Cash,18/02/2022,Metrocity
I462632,C149922,Female,63,Clothing,1,300.08,Cash,20/09/2021,Metrocity
I384013,C319771,Female,42,Clothing,5,1500.4,Credit Card,23/07/2022,Metrocity
I399018,C399060,Female,21,Clothing,2,600.16,Cash,11/9/22,Metropol AVM
I206456,C164364,Female,47,Clothing,2,600.16,Cash,21/08/2021,Mall of Istanbul
I600408,C328429,Male,48,Clothing,2,600.16,Cash,14/02/2021,Metrocity
I326148,C261257,Female,49,Clothing,3,900.24,Cash,18/06/2021,Forum Istanbul
I631232,C321909,Female,35,Technology,5,5250.0,Credit Card,29/12/2021,Mall of Istanbul
I306213,C181877,Male,66,Food & Beverage,1,5.23,Cash,8/10/21,Kanyon
I596396,C223155,Female,66,Clothing,5,1500.4,Cash,21/04/2021,Metropol AVM
I131927,C147450,Female,37,Food & Beverage,2,10.46,Credit Card,6/4/21,Metropol AVM
I594522,C217833,Female,35,Clothing,5,1500.4,Credit Card,29/01/2023,Zorlu Center
I309260,C311701,Male,54,Books,3,45.45,Cash,30/05/2022,Emaar Square Mall
I266352,C145023,Female,26,Clothing,3,900.24,Cash,2/1/23,Kanyon
I236352,C224644,Male,29,Clothing,5,1500.4,Credit Card,2/11/22,Mall of Istanbul
I130294,C876964,Female,53,Clothing,4,1200.32,Cash,15/02/2023,Istinye Park
I283572,C285910,Female,51,Clothing,1,300.08,Debit Card,23/09/2022,Forum Istanbul
I438700,C209752,Female,68,Shoes,1,600.17,Cash,19/07/2022,Istinye Park
I296299,C209455,Female,44,Shoes,1,600.17,Debit Card,27/01/2022,Metrocity
I282637,C934245,Female,62,Clothing,5,1500.4,Credit Card,14/11/2021,Cevahir AVM
I309412,C514574,Female,66,Food & Beverage,4,20.92,Cash,5/9/21,Metropol AVM
I325399,C214301,Female,39,Food & Beverage,5,26.15,Cash,24/04/2022,Mall of Istanbul
I969439,C213908,Male,50,Cosmetics,5,203.3,Cash,22/09/2022,Metropol AVM
I536684,C994684,Male,21,Toys,3,107.52,Debit Card,30/05/2022,Metrocity
I154361,C261532,Male,58,Clothing,1,300.08,Debit Card,14/07/2022,Metrocity
I458307,C313611,Female,41,Food & Beverage,4,20.92,Credit Card,17/06/2022,Metrocity
I187113,C203413,Female,63,Clothing,4,1200.32,Credit Card,6/1/23,Mall of Istanbul
I427989,C241951,Female,56,Cosmetics,5,203.3,Cash,24/11/2021,Metropol AVM
I160977,C409478,Male,47,Shoes,3,1800.51,Credit Card,30/11/2022,Kanyon
I268189,C198280,Female,20,Clothing,3,900.24,Credit Card,16/01/2022,Mall of Istanbul
I726848,C179894,Male,58,Souvenir,3,35.19,Credit Card,26/01/2022,Metrocity
I911470,C310074,Female,63,Books,4,60.6,Credit Card,9/1/22,Mall of Istanbul
I106359,C238741,Female,30,Shoes,4,2400.68,Credit Card,2/11/22,Cevahir AVM
I245787,C104111,Female,41,Clothing,5,1500.4,Credit Card,3/5/21,Emaar Square Mall
I624179,C429588,Male,32,Toys,4,143.36,Debit Card,17/02/2022,Zorlu Center
I317026,C664058,Male,68,Books,5,75.75,Cash,3/5/22,Cevahir AVM
I976975,C314951,Male,43,Toys,1,35.84,Cash,12/1/23,Emaar Square Mall
I247870,C314005,Male,24,Food & Beverage,2,10.46,Cash,24/09/2021,Emaar Square Mall
I337379,C271483,Male,55,Food & Beverage,3,15.69,Credit Card,24/09/2022,Forum Istanbul
I245494,C160513,Male,28,Toys,4,143.36,Debit Card,21/05/2021,Viaport Outlet
I291301,C207249,Female,30,Clothing,2,600.16,Credit Card,2/5/21,Kanyon
I213989,C895259,Female,67,Clothing,4,1200.32,Cash,14/02/2021,Mall of Istanbul
I313084,C182654,Female,23,Souvenir,5,58.65,Credit Card,19/09/2022,Zorlu Center
I245370,C336474,Female,23,Cosmetics,4,162.64,Credit Card,3/1/23,Viaport Outlet
I106085,C585737,Male,49,Clothing,1,300.08,Credit Card,31/03/2022,Cevahir AVM
I973475,C162547,Female,21,Shoes,4,2400.68,Cash,14/04/2021,Kanyon
I275991,C679151,Female,56,Souvenir,2,23.46,Credit Card,28/12/2021,Zorlu Center
I127066,C150692,Male,42,Cosmetics,2,81.32,Credit Card,8/1/21,Mall of Istanbul
I605729,C746190,Female,26,Shoes,3,1800.51,Credit Card,25/08/2021,Istinye Park
I266220,C224446,Female,50,Cosmetics,3,121.98,Cash,29/12/2022,Istinye Park
I500393,C920755,Female,59,Shoes,1,600.17,Debit Card,22/10/2022,Metropol AVM
I272273,C223675,Female,25,Clothing,2,600.16,Credit Card,11/11/22,Mall of Istanbul
I317171,C191358,Female,41,Food & Beverage,1,5.23,Cash,10/1/21,Cevahir AVM
I864479,C410708,Male,62,Clothing,3,900.24,Cash,25/06/2022,Emaar Square Mall
I167153,C818592,Male,61,Clothing,2,600.16,Credit Card,8/10/21,Istinye Park
I101573,C150669,Female,57,Cosmetics,4,162.64,Cash,28/07/2022,Cevahir AVM
I270368,C159953,Female,53,Cosmetics,3,121.98,Debit Card,14/08/2021,Metropol AVM
I437899,C286899,Female,62,Toys,3,107.52,Credit Card,1/1/23,Kanyon
I774665,C173620,Female,41,Cosmetics,4,162.64,Cash,1/7/22,Metrocity
I150430,C223348,Female,50,Toys,2,71.68,Credit Card,3/7/22,Istinye Park
I311866,C219712,Male,64,Shoes,1,600.17,Credit Card,26/10/2021,Emaar Square Mall
I159802,C159098,Male,39,Clothing,2,600.16,Credit Card,26/01/2023,Viaport Outlet
I120592,C147640,Male,54,Food & Beverage,5,26.15,Credit Card,1/3/23,Zorlu Center
I880228,C972262,Female,24,Shoes,5,3000.85,Cash,7/8/21,Viaport Outlet
I484257,C404679,Male,44,Cosmetics,3,121.98,Cash,30/06/2021,Kanyon
I104099,C268800,Female,31,Clothing,4,1200.32,Credit Card,28/11/2021,Kanyon
I113319,C835680,Female,56,Toys,3,107.52,Cash,4/2/21,Metropol AVM
I306399,C282129,Female,66,Cosmetics,4,162.64,Cash,26/02/2022,Istinye Park
I319130,C165503,Female,63,Toys,4,143.36,Credit Card,9/3/22,Viaport Outlet
I149167,C447233,Female,24,Technology,4,4200.0,Cash,21/10/2021,Metrocity
I262633,C619431,Male,30,Food & Beverage,4,20.92,Debit Card,1/1/21,Viaport Outlet
I300000,C550099,Female,23,Cosmetics,5,203.3,Credit Card,12/10/22,Mall of Istanbul
I517096,C310673,Male,25,Clothing,3,900.24,Credit Card,26/08/2022,Emaar Square Mall
I119536,C676930,Female,61,Toys,2,71.68,Credit Card,22/09/2021,Metrocity
I321248,C134778,Male,18,Clothing,3,900.24,Credit Card,1/10/21,Metrocity
I307559,C208673,Male,65,Clothing,3,900.24,Credit Card,24/03/2022,Metrocity
I250525,C236190,Male,33,Toys,5,179.2,Cash,10/7/21,Kanyon
I256168,C153986,Female,53,Clothing,1,300.08,Cash,20/06/2021,Mall of Istanbul
I288723,C221054,Female,34,Souvenir,1,11.73,Credit Card,19/11/2021,Cevahir AVM
I100094,C246470,Female,68,Toys,2,71.68,Cash,18/12/2021,Metropol AVM
I314233,C275450,Male,38,Toys,4,143.36,Credit Card,28/05/2021,Zorlu Center
I909349,C503692,Male,26,Toys,1,35.84,Cash,9/7/22,Forum Istanbul
I234027,C844014,Female,34,Clothing,3,900.24,Cash,15/10/2021,Kanyon
I246285,C170175,Female,63,Food & Beverage,1,5.23,Credit Card,19/06/2022,Istinye Park
I307878,C257975,Female,22,Technology,1,1050.0,Credit Card,5/4/21,Mall of Istanbul
I117571,C104715,Female,35,Clothing,5,1500.4,Cash,30/05/2021,Metrocity
I329131,C835715,Male,40,Clothing,5,1500.4,Cash,16/09/2021,Metropol AVM
I176846,C242788,Male,49,Clothing,1,300.08,Cash,10/7/21,Viaport Outlet
I235216,C807490,Male,63,Clothing,3,900.24,Credit Card,10/12/22,Kanyon
I204099,C330761,Female,52,Food & Beverage,5,26.15,Debit Card,10/3/22,Mall of Istanbul
I207888,C162512,Female,52,Cosmetics,5,203.3,Cash,26/12/2021,Viaport Outlet
I638234,C159282,Female,51,Clothing,2,600.16,Credit Card,19/03/2021,Kanyon
I423186,C873655,Female,36,Clothing,2,600.16,Debit Card,20/09/2021,Metrocity
I320323,C131764,Female,27,Books,1,15.15,Cash,2/9/22,Metrocity
I160255,C150023,Female,32,Clothing,1,300.08,Credit Card,10/9/22,Forum Istanbul
I228443,C201036,Female,59,Clothing,4,1200.32,Debit Card,21/07/2021,Kanyon
I404135,C138892,Female,37,Books,4,60.6,Credit Card,26/01/2023,Metrocity
I507497,C185642,Male,58,Shoes,2,1200.34,Debit Card,16/07/2021,Mall of Istanbul
I290778,C175384,Male,66,Souvenir,2,23.46,Cash,7/3/22,Kanyon
I169722,C147276,Male,35,Toys,3,107.52,Credit Card,9/11/22,Mall of Istanbul
I131786,C118481,Female,44,Food & Beverage,2,10.46,Credit Card,15/03/2022,Mall of Istanbul
I249017,C324690,Male,40,Toys,1,35.84,Debit Card,23/09/2021,Kanyon
I453639,C125538,Female,32,Cosmetics,4,162.64,Credit Card,1/9/22,Kanyon
I182063,C298511,Male,59,Toys,4,143.36,Cash,26/02/2023,Kanyon
I288115,C937711,Female,28,Souvenir,5,58.65,Credit Card,22/04/2022,Mall of Istanbul
I762771,C722613,Male,65,Cosmetics,1,40.66,Credit Card,10/10/21,Metropol AVM
