,index,invoice_no,customer_id,gender, age ,category,quantity,Price,payment_method,invoice_date,shopping_mall
3161,63371,I181242,C316869,Female,37,Food & Beverage,2,10.46,Cash,6/9/21,Metrocity
1285,78683,I271017,C943493,Female,56,Shoes,1,600.17,Credit Card,21/09/2021,Metropol AVM
150,422,I733440,C289682,Female,61,Books,4,60.6,Cash,23/05/2021,Mall of Istanbul
1945,51093,I388055,C153100,Female,58,Cosmetics,2,81.32,Credit Card,7/1/22,Mall of Istanbul
1582,79245,I232808,C319748,Female,48,Shoes,2,1200.34,Credit Card,10/4/22,Zorlu Center
4985,85985,I897878,C311476,Male,38,Technology,3,3150,Debit Card,27/12/2022,Metrocity
1142,88524,I118731,C528185,Female,63,Technology,5,5250,Cash,5/10/22,Mall of Istanbul
2765,71335,I151326,C244222,Female,55,Shoes,2,1200.34,Debit Card,30/09/2022,Istinye Park
1630,12238,I663969,C263228,Female,43,Clothing,5,1500.4,Credit Card,8/8/21,Kanyon
3584,51502,I857655,C132932,Female,45,Cosmetics,4,162.64,Credit Card,3/1/22,Kanyon
3626,2523,I140996,C274879,Female,37,Books,1,15.15,Credit Card,24/05/2021,Istinye Park
3430,79639,I467269,C318075,Female,50,Souvenir,4,46.92,Credit Card,20/12/2021,Istinye Park
2469,63559,I175690,C589143,Male,69,Food & Beverage,5,26.15,Credit Card,16/02/2023,Istinye Park
688,17100,I220441,C264813,Female,55,Clothing,1,300.08,Credit Card,16/03/2022,Kanyon
4881,63844,I849925,C319508,Female,47,Food & Beverage,1,5.23,Cash,3/1/23,Emaar Square Mall
3251,71044,I158388,C293486,Female,36,Shoes,2,1200.34,Cash,20/06/2021,Mall of Istanbul
4162,74433,I138580,C166537,Female,45,Shoes,3,1800.51,Credit Card,3/10/22,Emaar Square Mall
3176,74999,I330453,C583484,Male,53,Shoes,3,1800.51,Credit Card,24/07/2022,Zorlu Center
3537,99373,I254156,C307070,Male,58,Toys,5,179.2,Credit Card,14/04/2022,Mall of Istanbul
4514,20258,I398233,C124479,Male,45,Clothing,2,600.16,Credit Card,11/8/22,Istinye Park
3404,58805,I337968,C228995,Female,24,Food & Beverage,1,,Credit Card,11/4/21,Kanyon
1616,80359,I177312,C103267,Female,48,Souvenir,5,,Credit Card,23/08/2021,Mall of Istanbul
1705,53867,I400787,C181412,Female,20,Cosmetics,1,,Credit Card,21/01/2023,Mall of Istanbul
2584,91958,I264813,C297617,Male,56,Toys,1,,Cash,3/6/22,Cevahir AVM
1300,27883,I104734,C528383,Female,46,Clothing,4,,Credit Card,20/12/2022,Emaar Square Mall
4611,51103,I249026,C254432,Male,44,Cosmetics,4,,Credit Card,24/02/2023,Metrocity
4596,89359,I549710,C541824,Female,34,Technology,3,,Cash,13/01/2021,Metrocity
1520,96804,I336820,C660875,Male,36,Toys,5,,Debit Card,22/02/2023,Kanyon
1728,30244,I107071,C106043,Female,40,Clothing,4,,Credit Card,28/01/2022,Metropol AVM
3508,69830,I328635,C394776,Male,68,Shoes,3,,Credit Card,18/08/2022,Mall of Istanbul
4813,69297,I149977,C102584,Female,66,Food & Beverage,1,,Cash,19/02/2021,Mall of Istanbul
2634,57841,I456326,C523384,Female,52,Food & Beverage,5,,Debit Card,4/9/21,Viaport Outlet
4833,16216,I261413,C666345,Female,47,Clothing,4,,Cash,23/04/2022,Viaport Outlet
3503,53025,I741210,C105085,Female,63,Cosmetics,3,121.98,Credit Card,11/3/22,Kanyon
1284,20166,I783049,C320243,Female,67,Clothing,4,1200.32,Cash,28/07/2021,Zorlu Center
998,30491,I469646,C251024,,45,Clothing,2,600.16,Cash,21/08/2021,Kanyon
3063,48918,I479710,C753406,,53,Cosmetics,4,162.64,Cash,20/08/2022,Istinye Park
4189,48382,I182015,C199924,,52,Cosmetics,2,81.32,Credit Card,11/12/22,Mall of Istanbul
513,13411,I261018,C706658,,49,Clothing,2,600.16,Cash,3/12/21,Metrocity
610,58915,I270444,C287611,,24,Food & Beverage,2,10.46,Credit Card,5/12/22,Viaport Outlet
1396,38998,I891565,C740056,,21,Clothing,2,600.16,Debit Card,25/02/2021,Viaport Outlet
3401,52298,I265948,C219497,,55,Cosmetics,5,203.3,Cash,10/3/22,Emaar Square Mall
4360,3877,I283305,C305139,,41,Books,3,45.45,Cash,11/10/22,Mall of Istanbul
2377,32967,I189568,C184355,,69,Clothing,5,1500.4,Credit Card,25/10/2021,Metropol AVM
3000,70933,I108832,C329896,,60,Shoes,3,1800.51,Credit Card,15/02/2022,Istinye Park
3594,67913,I175466,C464213,,58,Food & Beverage,3,15.69,Debit Card,9/3/21,Metrocity
1083,38884,I216633,C323255,,23,Clothing,3,900.24,Cash,26/12/2022,Metrocity
2558,81987,I167554,C559087,Female,39,Souvenir,5,58.65,Credit Card,6/2/21,Mall of Istanbul
4313,6638,I142340,C266897,Male,67,Clothing,4,1200.32,Credit Card,23/02/2022,Metrocity
4552,60678,I260482,C142850,Female,60,Food & Beverage,4,20.92,Cash,27/05/2022,Metrocity
3170,23999,I158565,C119627,Female,27,Clothing,5,1500.4,Cash,26/11/2021,Istinye Park
1258,96240,I324642,C222536,Male,41,Toys,2,71.68,Credit Card,5/10/21,Kanyon
3276,14646,I914433,C289668,Female,24,Clothing,1,300.08,Credit Card,11/5/21,Emaar Square Mall
2964,4775,I217205,C707012,Female,35,Books,5,75.75,Debit Card,26/03/2022,Metrocity
3417,87312,I191238,C273891,Male,59,Technology,3,3150,Credit Card,17/09/2021,Mall of Istanbul
530,65073,I223236,C338192,Female,35,Food & Beverage,1,5.23,Debit Card,19/11/2022,Metrocity
4563,74719,I608999,C142833,Female,24,Shoes,1,600.17,Credit Card,17/11/2021,Metropol AVM
3530,44986,I573015,C175267,Male,25,Cosmetics,5,203.3,Cash,21/01/2021,Mall of Istanbul
2233,71361,I923307,C217193,Female,69,Shoes,4,2400.68,Cash,29/01/2022,Metrocity
3050,35616,I308711,C209689,Female,18,Clothing,5,1500.4,Credit Card,2/7/22,Cevahir AVM
1423,14131,I185830,C227998,Female,67,Clothing,1,300.08,Credit Card,16/09/2022,Kanyon
2635,58795,I588428,C667229,Female,66,Food & Beverage,3,15.69,Credit Card,10/11/22,Metropol AVM
2457,16054,I312307,C153306,Female,26,Clothing,5,1500.4,Cash,8/9/22,Forum Istanbul
3006,10577,I516437,C882574,Female,27,Clothing,5,1500.4,Cash,25/08/2021,Kanyon
3060,71666,I197116,C196912,Female,46,Shoes,5,3000.85,Credit Card,26/04/2022,Metrocity
1384,45119,I613216,C138284,Male,30,Cosmetics,5,203.3,Credit Card,16/04/2022,Zorlu Center
1202,72613,I882662,C391524,Female,28,Shoes,4,2400.68,Credit Card,6/10/21,Metrocity
1677,18867,I997825,C202221,Male,31,Clothing,5,1500.4,Cash,10/9/21,Zorlu Center
1606,37519,I321670,C805090,Female,47,Clothing,3,900.24,Cash,6/3/21,Istinye Park
3550,40730,I155911,C284019,Female,38,Cosmetics,5,203.3,Debit Card,18/11/2022,Viaport Outlet
784,13072,I302410,C246281,Female,44,Clothing,5,1500.4,Debit Card,4/4/21,Zorlu Center
4927,10137,I346983,C245250,Female,69,Clothing,5,1500.4,Credit Card,30/06/2022,Istinye Park
68,68648,I779872,C329891,Female,46,Food & Beverage,4,20.92,Cash,5/6/21,Mall of Istanbul
1254,63606,I416791,C127739,Male,39,Food & Beverage,2,10.46,Credit Card,19/03/2022,Istinye Park
2627,81806,I199498,C338195,Female,46,Souvenir,3,35.19,Cash,27/09/2022,Emaar Square Mall
885,66710,I825032,C139209,Female,53,Food & Beverage,5,26.15,Debit Card,29/12/2022,Cevahir AVM
357,89334,I316110,C265624,Male,66,Technology,3,3150,Credit Card,21/05/2022,Istinye Park
1657,77379,I272121,C159714,Female,36,Shoes,3,1800.51,Cash,2/4/21,Metropol AVM
996,15523,I149998,C165663,Male,52,Clothing,5,1500.4,Credit Card,31/08/2022,Emaar Square Mall
3403,37290,I162353,C341160,Female,27,Clothing,4,1200.32,Cash,6/7/22,Kanyon
4669,2269,I338724,C592661,Male,69,Books,4,60.6,Debit Card,29/01/2021,Metrocity
3518,48694,I523802,C107886,Male,19,Cosmetics,2,81.32,Cash,5/9/21,Mall of Istanbul
3183,90484,I295272,C284044,Male,57,Toys,1,35.84,Cash,10/1/22,Metrocity
2520,91111,I233848,C229371,Female,63,Toys,5,179.2,Cash,21/11/2021,Emaar Square Mall
1758,15082,I317276,C256258,Female,66,Clothing,3,900.24,Cash,18/02/2023,Zorlu Center
1754,68202,I300513,C140840,Male,55,Food & Beverage,5,26.15,Debit Card,19/01/2021,Istinye Park
3817,15374,I165369,C742823,Male,32,Clothing,1,300.08,Cash,7/7/21,Kanyon
1926,13201,I870142,C210238,Female,27,Clothing,3,900.24,Cash,11/8/21,Kanyon
2382,42843,I141388,C792141,Female,51,Cosmetics,3,121.98,Cash,17/04/2022,Kanyon
675,90213,I290882,C221849,Male,21,Toys,2,71.68,Cash,15/08/2022,Forum Istanbul
2789,7347,I491443,C153101,Female,19,Clothing,5,1500.4,Cash,28/12/2021,Kanyon
2137,11325,I697899,C510021,Female,27,Clothing,3,900.24,Debit Card,11/11/22,Mall of Istanbul
1972,18370,I239331,C303379,Male,67,Clothing,4,1200.32,Cash,1/8/21,Viaport Outlet
4505,77081,I180885,C238824,Female,42,Shoes,1,600.17,Cash,29/12/2022,Kanyon
42,64098,I822314,C415826,Male,66,Food & Beverage,2,10.46,Cash,6/10/21,Mall of Istanbul
2068,81335,I141442,C504077,Male,41,Souvenir,5,58.65,Cash,15/06/2022,Mall of Istanbul
317,69886,I139342,C281489,Male,54,Shoes,5,3000.85,Credit Card,20/06/2022,Mall of Istanbul
3174,97848,I804077,C266551,Female,39,Toys,4,143.36,Cash,26/03/2021,Mall of Istanbul
4571,10817,I337876,C175524,Female,44,Clothing,1,300.08,,6/4/22,Metropol AVM
3397,22366,I219496,C326043,Male,59,Clothing,1,300.08,,7/6/21,Kanyon
2850,41734,I142846,C232469,Male,25,Cosmetics,3,121.98,,19/06/2021,Mall of Istanbul
670,19796,I162798,C105294,Female,66,Clothing,1,300.08,,17/09/2021,Metrocity
1809,43160,I230955,C196676,Male,69,Cosmetics,1,40.66,,14/07/2021,Kanyon
4125,25240,I146297,C878282,Female,68,Clothing,1,300.08,,13/04/2021,Metropol AVM
2907,51955,I289969,C280561,Female,46,Cosmetics,2,81.32,Debit Card,19/03/2021,Metrocity
2046,35450,I132517,C103421,Female,45,Clothing,2,600.16,Debit Card,24/12/2022,Kanyon
3568,11617,I643991,C134362,Female,69,Clothing,5,1500.4,Cash,18/08/2021,Metrocity
1435,86127,I332955,C171518,Female,19,Technology,3,3150,Debit Card,17/03/2022,Zorlu Center
336,29108,I967804,C285715,Male,55,Clothing,5,1500.4,Cash,13/08/2021,Mall of Istanbul
3917,20446,I121883,C221644,Female,26,Clothing,2,600.16,Credit Card,10/6/22,Kanyon
538,59312,I306954,C149081,Female,48,Food & Beverage,3,15.69,Cash,22/03/2021,Zorlu Center
3385,76127,I137901,C320863,Male,58,Shoes,1,600.17,Cash,9/9/22,Istinye Park
1292,50187,I305894,C104725,Female,64,Cosmetics,2,81.32,Credit Card,20/01/2023,Metrocity
3807,43288,I210615,C188250,Female,56,Cosmetics,1,40.66,Debit Card,24/05/2022,Kanyon
2134,8954,I106705,C303728,Male,69,Clothing,5,1500.4,Credit Card,12/4/22,Kanyon
3793,28043,I971317,C198397,Female,65,Clothing,1,300.08,Credit Card,23/06/2021,Forum Istanbul
2563,30667,I845572,C274948,Male,21,Clothing,4,1200.32,Debit Card,4/1/21,Metropol AVM
2887,69972,I268666,C221146,Female,19,Shoes,1,600.17,Cash,17/02/2021,Metrocity
4112,73335,I142151,C179080,Female,69,Shoes,2,1200.34,Credit Card,5/11/22,Mall of Istanbul
2040,99013,I755020,C175202,Female,48,Toys,5,179.2,Debit Card,4/2/23,Mall of Istanbul
1635,14071,I189272,C117597,Female,27,Clothing,5,1500.4,Credit Card,10/12/21,Mall of Istanbul
3087,43265,I142979,C286077,Male,69,Cosmetics,1,40.66,Cash,8/3/22,Emaar Square Mall
793,5322,I581146,C333988,Female,56,Clothing,5,1500.4,Cash,11/12/22,Viaport Outlet
1798,70063,I228882,C995124,Female,50,Shoes,5,3000.85,Cash,11/2/22,Istinye Park
4420,1907,I899373,C123283,Female,39,Books,5,75.75,Debit Card,20/06/2021,Metrocity
4940,85081,I331701,C971963,Male,60,Technology,4,4200,Debit Card,30/08/2022,Istinye Park
2054,53770,I241630,C519854,Female,21,Cosmetics,4,162.64,Debit Card,12/1/21,Zorlu Center
4866,75570,I191198,C279292,Male,44,Shoes,4,2400.68,Credit Card,29/01/2022,Forum Istanbul
3558,70823,I207223,C261894,Male,26,Shoes,1,600.17,Cash,17/02/2021,Mall of Istanbul
1968,75034,I286344,C141499,Male,46,Shoes,2,1200.34,Credit Card,22/02/2021,Kanyon
716,38773,I336965,C223003,Female,60,Clothing,5,1500.4,Credit Card,1/11/21,Istinye Park
343,63623,I100923,C139812,Female,41,Food & Beverage,1,5.23,Credit Card,8/4/22,Istinye Park
4647,19701,I289265,C414134,Male,58,Clothing,5,1500.4,Credit Card,18/12/2022,Metropol AVM
203,45740,I158354,C691412,Female,50,Cosmetics,5,203.3,Credit Card,19/02/2021,Kanyon
1487,35119,I537469,C311634,Female,68,Clothing,4,1200.32,Debit Card,19/02/2023,Metrocity
2588,90403,I307890,C532955,Female,39,Toys,3,107.52,Cash,3/6/22,Emaar Square Mall
3629,67787,I507976,C267714,Female,19,Food & Beverage,5,26.15,Credit Card,13/01/2021,Viaport Outlet
10,28013,I985965,C155235,Female,24,Clothing,4,1200.32,Cash,21/11/2021,Metrocity
3731,57982,I172957,C116828,Female,42,Food & Beverage,3,15.69,Cash,14/05/2021,Metrocity
1532,24489,I200576,C187675,Female,53,Clothing,1,300.08,Credit Card,24/01/2021,Forum Istanbul
640,87911,I231358,C190093,Female,38,Technology,3,3150,Cash,25/03/2022,Mall of Istanbul
3745,12672,I261104,C284823,Male,36,Clothing,2,600.16,Credit Card,12/2/22,
4398,21985,I292776,C255528,Female,45,Clothing,1,300.08,Debit Card,28/09/2021,
3373,35659,I652686,C242085,Male,21,Clothing,1,300.08,Credit Card,7/12/22,
4984,87403,I122939,C313618,Male,20,Technology,5,5250,Cash,4/7/21,
2009,27488,I881325,C300233,Male,38,Clothing,2,600.16,Cash,17/02/2023,
662,31386,I241994,C216492,Female,24,Clothing,4,1200.32,Debit Card,5/3/22,
811,38249,I183582,C118734,Female,24,Clothing,2,600.16,Credit Card,21/09/2022,
3461,33386,I253955,C307389,Female,38,Clothing,5,1500.4,Cash,8/7/22,
3514,72732,I981993,C249483,Female,18,Shoes,4,2400.68,Debit Card,30/11/2021,
3157,71345,I310978,C697137,Male,31,Shoes,5,3000.85,Debit Card,22/08/2022,
2861,87872,I142447,C236264,Female,59,Technology,3,3150,Cash,14/07/2021,Kanyon
2707,43483,I156192,C209978,Female,35,Cosmetics,5,203.3,Debit Card,9/4/21,Metrocity
4811,13747,I211668,C326584,Female,45,Clothing,1,300.08,Credit Card,9/9/21,Viaport Outlet
4883,38531,I228631,C312721,Male,58,Clothing,1,300.08,Cash,31/05/2021,Metrocity
257,40850,I266220,C224446,Female,50,Cosmetics,3,121.98,Cash,29/12/2022,Istinye Park
1545,50247,I109820,C282452,Female,65,Cosmetics,1,40.66,Debit Card,4/3/21,Istinye Park
865,18548,I228158,C109363,Female,69,Clothing,1,300.08,Credit Card,24/08/2021,Kanyon
2190,35735,I258074,C277432,Female,48,Clothing,1,300.08,Cash,10/5/21,Forum Istanbul
4366,31823,I212704,C321396,Female,27,Clothing,1,300.08,Cash,23/02/2021,Cevahir AVM
875,39030,I317486,C295786,Male,29,Clothing,5,1500.4,Debit Card,27/12/2022,Emaar Square Mall
3207,87894,I632727,C129939,Male,43,Technology,3,3150,Debit Card,15/03/2021,Zorlu Center
4793,40942,I142039,C916421,Female,61,Cosmetics,4,162.64,Cash,16/03/2022,Viaport Outlet
3510,27160,I137130,C772776,Female,38,Clothing,1,300.08,Cash,10/5/22,Metrocity
1313,50407,I318857,C275595,Female,68,Cosmetics,1,40.66,Cash,9/1/22,Cevahir AVM
511,48988,I167729,C422243,Female,51,Cosmetics,3,121.98,Credit Card,6/11/21,Metropol AVM
4361,30558,I153089,C226982,Female,38,Clothing,1,300.08,Cash,23/06/2021,Kanyon
495,2332,I285994,C897547,Female,35,Books,3,45.45,Credit Card,3/11/21,Viaport Outlet
1347,85526,I664214,C303243,Female,40,Technology,1,1050,Cash,28/08/2022,Viaport Outlet
2326,44807,I660612,C172427,Female,62,Cosmetics,4,162.64,Cash,28/12/2022,Cevahir AVM
2132,54285,I266454,C200632,Female,42,Cosmetics,3,121.98,Debit Card,3/4/21,Istinye Park
1031,57088,I137641,C102817,Female,25,Food & Beverage,5,26.15,Cash,26/09/2022,Istinye Park
2739,24303,I220536,C246960,Female,30,Clothing,2,600.16,Credit Card,19/03/2021,Kanyon
876,34752,I106838,C244085,Male,23,Clothing,3,900.24,Cash,7/2/22,Metropol AVM
2129,24284,I271541,C214564,Female,37,Clothing,4,1200.32,Credit Card,9/5/21,Zorlu Center
486,63197,I145816,C315593,Male,57,Food & Beverage,2,10.46,Credit Card,9/9/21,Zorlu Center
3312,71347,I987187,C121472,Male,35,Shoes,5,3000.85,Debit Card,16/09/2022,Emaar Square Mall
4561,66943,I280380,C294236,Female,28,Food & Beverage,1,5.23,Cash,15/07/2021,Viaport Outlet
1808,51784,I781926,C276890,Female,45,Cosmetics,2,81.32,Credit Card,14/06/2021,Emaar Square Mall
4085,11596,I182301,C815402,Male,68,Clothing,4,1200.32,Cash,5/7/22,Kanyon
2899,46196,I481478,C111349,Male,69,Cosmetics,5,203.3,Credit Card,3/6/22,Metrocity
407,81854,I741436,C833435,Female,19,Souvenir,4,46.92,Cash,13/10/2022,Mall of Istanbul
2532,5060,I198698,C281268,Female,29,Clothing,1,300.08,Debit Card,15/01/2023,Metropol AVM
1025,45692,I643233,C258915,Female,29,Cosmetics,2,81.32,Credit Card,15/09/2021,Metrocity
3671,9872,I131284,C112287,Female,31,Clothing,1,300.08,Debit Card,25/09/2021,Metropol AVM
1661,68092,I517953,C202091,Male,18,Food & Beverage,4,20.92,Cash,22/03/2021,Kanyon
2364,75829,I534104,C214324,Male,63,Shoes,4,2400.68,Cash,18/06/2022,Metrocity
2528,7485,I295721,C138026,Female,63,Clothing,4,1200.32,Cash,28/10/2022,Kanyon
1602,65298,I104546,C152296,Male,25,Food & Beverage,2,10.46,Credit Card,3/3/22,Mall of Istanbul
3234,63417,I336511,C270252,Female,43,Food & Beverage,5,26.15,Credit Card,6/3/22,Mall of Istanbul
4986,17700,I118896,C513507,Female,65,Clothing,4,1200.32,Credit Card,6/6/22,Viaport Outlet
383,22956,I158940,C167782,Female,19,Clothing,5,1500.4,Debit Card,18/11/2021,Mall of Istanbul
709,73242,I203310,C317384,Female,43,Shoes,5,3000.85,Debit Card,5/8/21,Mall of Istanbul
29,57184,I220364,C320290,Male,35,Food & Beverage,4,20.92,Credit Card,18/04/2022,Zorlu Center
4375,72431,I200268,C402199,Male,41,Shoes,4,2400.68,Credit Card,31/01/2023,Forum Istanbul
1576,90413,I215624,C390272,Male,23,Toys,1,35.84,Credit Card,3/7/21,Zorlu Center
4029,52670,I868914,C282942,Female,32,Cosmetics,5,203.3,Cash,7/1/22,Istinye Park
3824,26669,I753186,C302546,Male,33,Clothing,3,900.24,Credit Card,9/1/23,Kanyon
175,10995,I245079,C200469,Female,31,Clothing,5,1500.4,Cash,5/10/22,Istinye Park
3931,39244,I318525,C617490,Female,27,Clothing,5,1500.4,Credit Card,1/9/21,Istinye Park
1564,11199,I126581,C112630,Male,55,Clothing,4,1200.32,Credit Card,14/10/2022,Metrocity
1896,95082,I300145,C119603,Male,20,Toys,4,143.36,Cash,24/10/2022,Mall of Istanbul
627,85652,I164032,C583809,Female,22,Technology,5,5250,Cash,14/10/2021,Metropol AVM
2869,6743,I182541,C784743,Female,35,Clothing,3,900.24,Credit Card,26/12/2022,Kanyon
1002,5944,I238586,C165924,Female,43,Clothing,1,300.08,Credit Card,10/10/21,Emaar Square Mall
1553,12562,I188502,C316921,Male,52,Clothing,5,1500.4,Cash,20/01/2022,Cevahir AVM
4014,97618,I955361,C185301,Female,48,Toys,2,71.68,Debit Card,7/2/21,Istinye Park
3478,70805,I714682,C318939,Male,26,Shoes,2,1200.34,Cash,2/12/22,Kanyon
3877,1013,I494678,C115299,Female,47,Books,5,75.75,Cash,4/4/22,Emaar Square Mall
