gender,age,category,quantity,total_price,payment_method,datetime,shopping_mall
Male,53,Clothing,5,1500.4,Cash,2021-12-12,Metrocity
Female,64,Cosmetics,3,121.98,Credit Card,2023-08-01,Istinye Park
Female,45,Clothing,2,600.16,Debit Card,2022-06-18,Metropol AVM
Female,19,Technology,3,3150.0,Credit Card,2023-02-01,Zorlu Center
Female,48,Food & Beverage,1,5.23,Cash,2022-11-07,Istinye Park
Female,21,Toys,3,107.52,Cash,2022-04-20,Mall of Istanbul
Male,50,Toys,5,179.2,Cash,2022-04-06,Kanyon
Female,40,Cosmetics,2,81.32,Cash,2022-10-27,Mall of Istanbul
Female,55,Shoes,2,1200.34,Cash,2022-07-12,Emaar Square Mall
Female,55,Clothing,4,1200.32,Credit Card,2022-09-28,Kanyon
Female,27,Clothing,3,900.24,Debit Card,2022-03-21,Istinye Park
Female,45,Cosmetics,1,40.66,Cash,2023-02-14,Metropol AVM
Male,56,Shoes,2,1200.34,Credit Card,2022-04-12,Mall of Istanbul
Female,52,Cosmetics,3,121.98,Debit Card,2022-03-30,Metropol AVM
Female,24,Food & Beverage,3,15.69,Cash,2022-06-02,Metrocity
Male,66,Clothing,5,1500.4,Debit Card,2022-10-25,Metrocity
Female,44,Clothing,5,1500.4,Credit Card,2022-08-14,Mall of Istanbul
Female,55,Clothing,4,1200.32,Credit Card,2021-09-27,Kanyon
Male,45,Toys,5,179.2,Credit Card,2021-07-21,Kanyon
Female,23,Food & Beverage,3,15.69,Credit Card,2022-10-02,Viaport Outlet
Male,42,Clothing,1,300.08,Credit Card,2022-07-23,Metropol AVM
Female,50,Cosmetics,3,121.98,Cash,2022-04-19,Metropol AVM
Female,32,Clothing,2,600.16,Credit Card,2021-12-21,Forum Istanbul
Female,51,Technology,1,1050.0,Debit Card,2023-01-02,Metrocity
Female,55,Clothing,4,1200.32,Cash,2022-04-21,Kanyon
Female,48,Shoes,2,1200.34,Cash,2022-06-09,Cevahir AVM
Male,56,Food & Beverage,5,26.15,Cash,2022-04-30,Kanyon
Female,66,Clothing,2,600.16,Credit Card,2021-11-09,Viaport Outlet
Male,49,Toys,2,71.68,Credit Card,2021-09-16,Metrocity
Male,24,Clothing,2,600.16,Cash,2022-09-19,Zorlu Center
Male,56,Shoes,3,1800.51,Cash,2022-09-23,Metropol AVM
Female,29,Cosmetics,1,40.66,Credit Card,2021-07-06,Forum Istanbul
Female,40,Clothing,2,600.16,Cash,2022-10-04,Mall of Istanbul
Male,39,Cosmetics,1,40.66,Cash,2021-09-28,Forum Istanbul
Male,63,Clothing,2,600.16,Cash,2021-12-31,Metrocity
Male,66,Technology,5,5250.0,Cash,2022-09-16,Kanyon
Female,36,Clothing,2,600.16,Cash,2021-10-23,Zorlu Center
Male,25,Toys,5,179.2,Cash,2021-04-25,Zorlu Center
Female,20,Souvenir,1,11.73,Credit Card,2022-01-03,Viaport Outlet
Male,69,Cosmetics,1,40.66,Cash,2021-12-22,Mall of Istanbul
Female,21,Food & Beverage,4,20.92,Debit Card,2022-11-24,Emaar Square Mall
Female,32,Toys,3,107.52,Credit Card,2021-07-15,Kanyon
Male,43,Shoes,4,2400.68,Debit Card,2021-02-14,Mall of Istanbul
Male,67,Books,3,45.45,Debit Card,2022-08-13,Mall of Istanbul
Male,29,Clothing,4,1200.32,Credit Card,2022-01-07,Istinye Park
Female,69,Clothing,2,600.16,Credit Card,2022-04-07,Istinye Park
Female,29,Cosmetics,3,121.98,Debit Card,2022-12-28,Kanyon
Male,68,Clothing,4,1200.32,Cash,2023-02-01,Istinye Park
Female,32,Clothing,4,1200.32,Credit Card,2021-08-03,Metropol AVM
Female,21,Clothing,3,900.24,Credit Card,2022-10-13,Istinye Park
Female,52,Shoes,3,1800.51,Cash,2021-10-20,Istinye Park
Female,22,Food & Beverage,2,10.46,Debit Card,2021-02-23,Emaar Square Mall
Female,39,Cosmetics,4,162.64,Cash,2022-08-07,Metropol AVM
Male,47,Food & Beverage,1,5.23,Credit Card,2022-10-13,Mall of Istanbul
Female,28,Clothing,3,900.24,Debit Card,2021-01-19,Viaport Outlet
Male,67,Clothing,3,900.24,Credit Card,2021-11-30,Kanyon
Female,61,Food & Beverage,3,15.69,Credit Card,2021-09-08,Forum Istanbul
Female,34,Clothing,5,1500.4,Credit Card,2021-09-25,Forum Istanbul
Male,51,Shoes,1,600.17,Cash,2021-04-03,Kanyon
Female,38,Clothing,2,600.16,Debit Card,2022-02-18,Viaport Outlet
Female,53,Shoes,1,600.17,Debit Card,2022-04-21,Emaar Square Mall
Female,65,Clothing,4,1200.32,Cash,2022-10-11,Emaar Square Mall
Female,30,Clothing,1,300.08,Cash,2022-11-11,Kanyon
Female,48,Food & Beverage,3,15.69,Cash,2022-12-01,Viaport Outlet
Male,37,Food & Beverage,5,26.15,Credit Card,2022-07-19,Kanyon
Male,34,Books,5,75.75,Cash,2021-11-30,Metropol AVM
Female,43,Books,3,45.45,Cash,2022-10-22,Cevahir AVM
Male,28,Clothing,2,600.16,Debit Card,2022-08-16,Istinye Park
Male,65,Cosmetics,4,162.64,Cash,2022-07-18,Cevahir AVM
Female,27,Cosmetics,3,121.98,Credit Card,2022-10-23,Viaport Outlet
Male,48,Food & Beverage,3,15.69,Cash,2022-12-31,Metropol AVM
Female,30,Clothing,1,300.08,Credit Card,2022-11-09,Metrocity
Female,56,Food & Beverage,3,15.69,Credit Card,2021-10-10,Mall of Istanbul
Male,39,Cosmetics,5,203.3,Debit Card,2021-10-31,Istinye Park
Female,68,Toys,3,107.52,Credit Card,2021-10-12,Metrocity
Female,62,Clothing,4,1200.32,Credit Card,2023-02-21,Forum Istanbul
Male,44,Technology,3,3150.0,Credit Card,2021-05-30,Metrocity
Female,51,Clothing,4,1200.32,Credit Card,2023-12-01,Kanyon
Male,29,Cosmetics,2,81.32,Cash,2022-10-16,Istinye Park
Female,45,Toys,4,143.36,Cash,2022-10-08,Kanyon
Female,43,Clothing,5,1500.4,Cash,2022-07-30,Kanyon
Female,52,Clothing,4,1200.32,Credit Card,2022-10-05,Istinye Park
Female,58,Shoes,2,1200.34,Debit Card,2021-12-19,Mall of Istanbul
Female,25,Clothing,5,1500.4,Cash,2023-02-27,Cevahir AVM
Female,35,Shoes,3,1800.51,Cash,2021-04-23,Istinye Park
Male,47,Food & Beverage,2,10.46,Credit Card,2022-08-30,Kanyon
Male,24,Clothing,1,300.08,Cash,2022-12-19,Metropol AVM
Male,24,Souvenir,2,23.46,Credit Card,2022-02-06,Mall of Istanbul
Female,48,Souvenir,3,35.19,Cash,2022-02-12,Mall of Istanbul
Female,44,Clothing,3,900.24,Cash,2022-12-01,Mall of Istanbul
Male,37,Technology,3,3150.0,Cash,2022-12-07,Zorlu Center
Female,43,Technology,1,1050.0,Cash,2021-06-14,Metropol AVM
Female,33,Toys,2,71.68,Cash,2022-04-16,Istinye Park
Female,43,Clothing,1,300.08,Cash,2021-10-03,Viaport Outlet
Female,31,Clothing,2,600.16,Cash,2022-03-15,Kanyon
Male,45,Food & Beverage,3,15.69,Cash,2022-03-25,Istinye Park
Female,44,Clothing,4,1200.32,Cash,2021-09-29,Istinye Park
Female,27,Clothing,1,300.08,Debit Card,2022-01-17,Istinye Park
Male,20,Clothing,4,1200.32,Cash,2023-05-01,Metrocity
Female,26,Food & Beverage,5,26.15,Cash,2021-11-09,Mall of Istanbul
Female,40,Cosmetics,3,121.98,Cash,2022-03-25,Zorlu Center
Female,35,Souvenir,4,46.92,Credit Card,2022-12-18,Mall of Istanbul
Female,61,Souvenir,1,11.73,Credit Card,2021-02-24,Metropol AVM
Female,29,Shoes,2,1200.34,Cash,2022-03-20,Zorlu Center
Male,63,Food & Beverage,1,5.23,Cash,2021-12-30,Metrocity
Male,28,Shoes,5,3000.85,Cash,2022-03-07,Kanyon
Male,18,Clothing,1,300.08,Cash,2021-02-05,Metrocity
Female,55,Clothing,2,600.16,Cash,2021-07-21,Istinye Park
Male,35,Cosmetics,4,162.64,Cash,2021-06-08,Mall of Istanbul
Female,53,Technology,3,3150.0,Credit Card,2022-08-25,Kanyon
Female,56,Food & Beverage,4,20.92,Debit Card,2021-03-21,Metrocity
Male,41,Shoes,2,1200.34,Cash,2021-10-14,Kanyon
Female,21,Toys,5,179.2,Cash,2023-01-14,Mall of Istanbul
Male,54,Food & Beverage,2,10.46,Debit Card,2022-02-07,Forum Istanbul
Female,29,Clothing,1,300.08,Debit Card,2022-05-21,Istinye Park
Male,63,Clothing,1,300.08,Credit Card,2023-04-01,Mall of Istanbul
Male,35,Technology,1,1050.0,Credit Card,2021-02-14,Metropol AVM
Male,26,Clothing,1,300.08,Credit Card,2021-07-15,Metrocity
Female,44,Food & Beverage,1,5.23,Cash,2022-12-05,Metrocity
Female,53,Clothing,4,1200.32,Cash,2021-06-18,Metrocity
Male,57,Clothing,2,600.16,Cash,2022-01-27,Metropol AVM
Female,29,Clothing,2,600.16,Debit Card,2021-03-27,Kanyon
Male,60,Toys,3,107.52,Credit Card,2022-01-29,Mall of Istanbul
Female,41,Clothing,5,1500.4,Credit Card,2022-10-07,Mall of Istanbul
Male,22,Food & Beverage,4,20.92,Credit Card,2021-08-12,Viaport Outlet
Female,59,Clothing,2,600.16,Cash,2021-04-13,Emaar Square Mall
Female,49,Clothing,5,1500.4,Debit Card,2021-09-10,Mall of Istanbul
Male,48,Food & Beverage,5,26.15,Cash,2022-07-05,Metrocity
Female,31,Toys,5,179.2,Debit Card,2023-01-31,Istinye Park
Female,47,Clothing,4,1200.32,Credit Card,2021-10-31,Mall of Istanbul
Female,19,Food & Beverage,3,15.69,Credit Card,2022-08-25,Kanyon
Female,39,Technology,2,2100.0,Debit Card,2022-08-02,Istinye Park
Female,50,Clothing,1,300.08,Debit Card,2021-02-08,Mall of Istanbul
Male,51,Food & Beverage,5,26.15,Cash,2022-02-12,Mall of Istanbul
Female,24,Souvenir,4,46.92,Cash,2022-12-13,Zorlu Center
Female,38,Food & Beverage,2,10.46,Cash,2022-04-13,Mall of Istanbul
Male,69,Shoes,2,1200.34,Cash,2022-10-26,Kanyon
Female,46,Clothing,5,1500.4,Credit Card,2021-01-20,Mall of Istanbul
Male,24,Clothing,3,900.24,Debit Card,2022-10-25,Kanyon
Male,39,Toys,2,71.68,Debit Card,2022-06-13,Metropol AVM
Male,44,Clothing,3,900.24,Credit Card,2022-12-22,Mall of Istanbul
Female,44,Books,1,15.15,Cash,2021-03-14,Metrocity
Female,61,Clothing,2,600.16,Debit Card,2022-09-27,Kanyon
Female,21,Clothing,3,900.24,Credit Card,2022-07-13,Emaar Square Mall
Male,48,Toys,4,143.36,Credit Card,2023-01-17,Mall of Istanbul
Female,19,Food & Beverage,3,15.69,Cash,2022-09-15,Metropol AVM
Female,34,Cosmetics,1,40.66,Debit Card,2022-05-03,Viaport Outlet
Female,41,Cosmetics,4,162.64,Cash,2021-08-30,Metropol AVM
Male,59,Food & Beverage,1,5.23,Credit Card,2021-05-18,Cevahir AVM
Male,38,Cosmetics,4,162.64,Debit Card,2021-08-23,Forum Istanbul
Female,41,Souvenir,3,35.19,Cash,2022-01-16,Cevahir AVM
Male,59,Cosmetics,4,162.64,Debit Card,2022-01-03,Istinye Park
Female,25,Clothing,2,600.16,Cash,2021-09-22,Cevahir AVM
Male,52,Cosmetics,5,203.3,Credit Card,2021-07-21,Metrocity
Female,56,Toys,5,179.2,Debit Card,2022-08-29,Metrocity
Male,62,Cosmetics,2,81.32,Cash,2022-04-03,Metrocity
Male,63,Books,5,75.75,Cash,2022-04-04,Istinye Park
Male,33,Cosmetics,5,203.3,Cash,2023-05-03,Mall of Istanbul
Male,67,Souvenir,4,46.92,Credit Card,2021-02-07,Kanyon
Male,20,Clothing,4,1200.32,Cash,2022-12-09,Metropol AVM
Male,69,Shoes,1,600.17,Cash,2022-10-17,Kanyon
Male,39,Toys,1,35.84,Cash,2022-02-28,Mall of Istanbul
Male,50,Shoes,1,600.17,Debit Card,2022-09-29,Kanyon
Male,52,Clothing,5,1500.4,Debit Card,2022-03-22,Viaport Outlet
Female,66,Clothing,4,1200.32,Cash,2022-07-03,Zorlu Center
Female,24,Technology,5,5250.0,Cash,2021-08-22,Viaport Outlet
Male,42,Clothing,3,900.24,Credit Card,2021-06-30,Metrocity
Male,31,Shoes,1,600.17,Credit Card,2021-02-24,Mall of Istanbul
Female,44,Clothing,2,600.16,Credit Card,2021-10-09,Mall of Istanbul
Female,53,Shoes,1,600.17,Cash,2022-05-17,Viaport Outlet
Female,54,Clothing,4,1200.32,Cash,2022-05-07,Metropol AVM
Female,37,Toys,2,71.68,Cash,2021-03-18,Mall of Istanbul
Female,33,Technology,4,4200.0,Cash,2022-11-17,Mall of Istanbul
Female,21,Toys,3,107.52,Cash,2023-05-03,Istinye Park
Female,23,Toys,5,179.2,Cash,2021-02-04,Emaar Square Mall
Male,40,Clothing,5,1500.4,Credit Card,2021-10-19,Cevahir AVM
Male,66,Cosmetics,3,121.98,Cash,2021-01-02,Kanyon
Male,59,Clothing,1,300.08,Debit Card,2022-05-21,Metrocity
Male,37,Clothing,4,1200.32,Cash,2023-02-15,Istinye Park
Female,53,Technology,3,3150.0,Cash,2022-07-01,Metrocity
Male,69,Clothing,4,1200.32,Cash,2022-02-11,Istinye Park
Male,61,Food & Beverage,5,26.15,Cash,2021-11-22,Kanyon
Female,66,Clothing,3,900.24,Credit Card,2021-10-08,Kanyon
Male,42,Technology,1,1050.0,Credit Card,2022-05-09,Mall of Istanbul
Female,61,Clothing,5,1500.4,Cash,2022-06-01,Mall of Istanbul
Male,55,Clothing,2,600.16,Credit Card,2021-07-14,Metrocity
Male,45,Food & Beverage,4,20.92,Cash,2022-03-03,Metropol AVM
Male,48,Clothing,1,300.08,Cash,2022-06-22,Metrocity
Male,20,Books,2,30.3,Debit Card,2022-03-09,Kanyon
Female,18,Shoes,1,600.17,Credit Card,2022-01-25,Kanyon
Female,24,Books,1,15.15,Credit Card,2021-07-06,Kanyon
Male,18,Cosmetics,5,203.3,Credit Card,2021-07-26,Mall of Istanbul
Male,40,Books,4,60.6,Cash,2023-05-01,Kanyon
Female,36,Clothing,4,1200.32,Debit Card,2022-08-03,Metrocity
Female,18,Food & Beverage,5,26.15,Credit Card,2021-09-29,Emaar Square Mall
Male,54,Shoes,4,2400.68,Credit Card,2022-12-27,Kanyon
Male,46,Cosmetics,3,121.98,Cash,2022-03-28,Forum Istanbul
Female,47,Clothing,4,1200.32,Debit Card,2021-12-24,Kanyon
Male,68,Food & Beverage,2,10.46,Debit Card,2021-05-12,Kanyon
Male,58,Cosmetics,4,162.64,Credit Card,2021-08-29,Kanyon
Male,25,Food & Beverage,3,15.69,Cash,2022-11-26,Viaport Outlet
Male,38,Cosmetics,2,81.32,Debit Card,2021-06-10,Viaport Outlet
Female,31,Books,2,30.3,Debit Card,2021-01-13,Viaport Outlet
Male,44,Clothing,2,600.16,Cash,2021-11-23,Kanyon
Female,45,Clothing,3,900.24,Credit Card,2022-04-18,Viaport Outlet
Female,47,Technology,4,4200.0,Cash,2021-12-25,Istinye Park
Male,37,Clothing,4,1200.32,Cash,2023-02-28,Istinye Park
Male,46,Cosmetics,4,162.64,Cash,2023-03-02,Mall of Istanbul
Female,53,Clothing,1,300.08,Credit Card,2022-11-11,Istinye Park
Female,41,Toys,5,179.2,Credit Card,2021-12-19,Kanyon
Female,59,Clothing,4,1200.32,Credit Card,2022-09-05,Kanyon
Male,32,Clothing,1,300.08,Debit Card,2022-05-14,Mall of Istanbul
Female,34,Shoes,4,2400.68,Cash,2021-06-04,Metropol AVM
Male,62,Clothing,3,900.24,Cash,2022-09-14,Zorlu Center
Male,49,Clothing,5,1500.4,Cash,2021-01-22,Kanyon
Male,42,Food & Beverage,3,15.69,Credit Card,2022-04-11,Forum Istanbul
Female,55,Books,1,15.15,Credit Card,2022-12-14,Kanyon
Male,44,Clothing,3,900.24,Debit Card,2021-09-01,Viaport Outlet
Female,26,Toys,2,71.68,Credit Card,2022-04-02,Cevahir AVM
Male,27,Toys,5,179.2,Credit Card,2022-07-11,Kanyon
Female,56,Cosmetics,4,162.64,Credit Card,2021-07-25,Istinye Park
Male,25,Cosmetics,3,121.98,Credit Card,2022-05-19,Zorlu Center
Male,66,Technology,4,4200.0,Cash,2023-01-24,Kanyon
Female,47,Books,1,15.15,Cash,2022-10-15,Forum Istanbul
Female,46,Clothing,5,1500.4,Cash,2021-07-13,Zorlu Center
Male,28,Books,2,30.3,Cash,2022-03-12,Mall of Istanbul
Male,69,Clothing,5,1500.4,Credit Card,2021-08-14,Mall of Istanbul
Male,65,Clothing,1,300.08,Cash,2023-12-01,Cevahir AVM
Male,27,Clothing,5,1500.4,Credit Card,2021-07-01,Kanyon
Male,54,Books,1,15.15,Credit Card,2022-07-02,Kanyon
Male,26,Cosmetics,4,162.64,Debit Card,2023-10-02,Istinye Park
Female,36,Food & Beverage,1,5.23,Credit Card,2022-06-14,Metrocity
Male,64,Toys,1,35.84,Cash,2021-08-09,Istinye Park
Female,18,Clothing,2,600.16,Cash,2022-12-24,Metrocity
Male,68,Shoes,1,600.17,Debit Card,2021-03-18,Istinye Park
Female,61,Toys,5,179.2,Cash,2022-03-03,Istinye Park
Male,57,Cosmetics,3,121.98,Credit Card,2021-03-22,Metropol AVM
Male,19,Food & Beverage,2,10.46,Credit Card,2022-03-10,Metropol AVM
Male,18,Clothing,4,1200.32,Credit Card,2022-01-03,Istinye Park
Male,36,Technology,2,2100.0,Cash,2022-01-18,Istinye Park
Female,68,Clothing,2,600.16,Credit Card,2021-10-28,Kanyon
Female,32,Clothing,1,300.08,Debit Card,2022-03-23,Metrocity
Female,42,Food & Beverage,4,20.92,Cash,2022-05-23,Metropol AVM
Female,36,Clothing,5,1500.4,Cash,2021-05-17,Metrocity
Male,63,Clothing,2,600.16,Credit Card,2022-03-31,Viaport Outlet
Female,56,Clothing,3,900.24,Credit Card,2021-07-07,Viaport Outlet
Male,49,Shoes,1,600.17,Cash,2022-04-25,Kanyon
Male,65,Toys,4,143.36,Cash,2022-11-21,Istinye Park
Female,47,Cosmetics,4,162.64,Cash,2022-03-06,Mall of Istanbul
Male,49,Clothing,3,900.24,Credit Card,2022-08-15,Viaport Outlet
Male,36,Clothing,5,1500.4,Credit Card,2021-03-26,Kanyon
Female,32,Food & Beverage,4,20.92,Credit Card,2021-11-29,Forum Istanbul
Male,33,Food & Beverage,4,20.92,Cash,2022-03-24,Kanyon
Male,38,Toys,4,143.36,Cash,2022-09-24,Metrocity
Female,26,Shoes,3,1800.51,Cash,2022-05-14,Mall of Istanbul
Female,37,Clothing,3,900.24,Cash,2022-08-03,Kanyon
Male,69,Cosmetics,5,203.3,Cash,2022-07-18,Istinye Park
Female,50,Clothing,2,600.16,Debit Card,2021-12-25,Kanyon
Male,29,Food & Beverage,3,15.69,Cash,2021-05-06,Kanyon
Male,31,Clothing,3,900.24,Cash,2021-08-09,Metrocity
Female,66,Cosmetics,4,162.64,Debit Card,2022-12-05,Forum Istanbul
Female,64,Clothing,5,1500.4,Cash,2021-10-26,Emaar Square Mall
Male,57,Cosmetics,2,81.32,Credit Card,2022-11-17,Forum Istanbul
Male,60,Clothing,2,600.16,Cash,2022-11-06,Zorlu Center
Male,67,Toys,3,107.52,Cash,2022-10-18,Kanyon
Female,49,Books,3,45.45,Cash,2022-11-14,Metrocity
Female,65,Clothing,3,900.24,Credit Card,2021-04-19,Kanyon
Female,30,Cosmetics,5,203.3,Cash,2022-03-26,Mall of Istanbul
Female,62,Technology,5,5250.0,Cash,2023-08-03,Istinye Park
Male,25,Food & Beverage,1,5.23,Debit Card,2022-07-17,Kanyon
Female,36,Souvenir,1,11.73,Cash,2023-12-02,Kanyon
Female,38,Food & Beverage,1,5.23,Cash,2023-02-25,Forum Istanbul
Female,49,Cosmetics,4,162.64,Credit Card,2022-11-06,Zorlu Center
Male,27,Clothing,3,900.24,Cash,2022-12-11,Metrocity
Female,40,Cosmetics,2,81.32,Credit Card,2022-01-30,Kanyon
Male,59,Cosmetics,2,81.32,Cash,2023-08-03,Metropol AVM
Male,35,Clothing,5,1500.4,Cash,2021-08-27,Kanyon
Female,37,Cosmetics,5,203.3,Debit Card,2021-01-06,Kanyon
Female,66,Food & Beverage,3,15.69,Credit Card,2022-10-11,Metropol AVM
Male,57,Clothing,4,1200.32,Cash,2022-04-02,Mall of Istanbul
Male,24,Clothing,2,600.16,Cash,2021-07-21,Kanyon
Female,55,Clothing,5,1500.4,Credit Card,2023-02-20,Metrocity
Female,64,Cosmetics,4,162.64,Credit Card,2021-03-07,Mall of Istanbul
Male,64,Toys,3,107.52,Credit Card,2021-11-09,Istinye Park
Female,57,Clothing,1,300.08,Cash,2022-06-08,Mall of Istanbul
Female,22,Cosmetics,2,81.32,Credit Card,2022-08-10,Emaar Square Mall
Female,52,Cosmetics,1,40.66,Credit Card,2021-01-09,Zorlu Center
Female,53,Shoes,3,1800.51,Credit Card,2021-11-03,Mall of Istanbul
Female,61,Clothing,4,1200.32,Credit Card,2021-02-09,Forum Istanbul
Male,36,Souvenir,1,11.73,Cash,2022-08-19,Kanyon
Female,37,Clothing,1,300.08,Credit Card,2021-01-29,Istinye Park
Male,53,Clothing,2,600.16,Debit Card,2021-08-27,Mall of Istanbul
Male,58,Toys,3,107.52,Cash,2021-03-23,Istinye Park
Female,38,Cosmetics,2,81.32,Debit Card,2022-01-25,Kanyon
Female,46,Clothing,1,300.08,Credit Card,2022-05-10,Forum Istanbul
Female,63,Cosmetics,1,40.66,Cash,2021-10-01,Forum Istanbul
Female,25,Food & Beverage,2,10.46,Debit Card,2023-10-01,Metropol AVM
Male,33,Clothing,4,1200.32,Credit Card,2021-11-15,Mall of Istanbul
Female,27,Toys,5,179.2,Credit Card,2022-12-05,Forum Istanbul
Female,21,Toys,3,107.52,Credit Card,2021-08-18,Zorlu Center
Female,47,Cosmetics,1,40.66,Credit Card,2022-03-21,Metrocity
Male,28,Clothing,1,300.08,Cash,2021-08-27,Mall of Istanbul
Female,18,Toys,1,35.84,Cash,2022-10-14,Kanyon
Male,64,Shoes,1,600.17,Debit Card,2021-08-09,Istinye Park
Male,67,Souvenir,4,46.92,Credit Card,2021-03-27,Cevahir AVM
Female,30,Clothing,2,600.16,Credit Card,2021-03-05,Metrocity
Male,69,Shoes,3,1800.51,Credit Card,2022-08-08,Cevahir AVM
Male,63,Cosmetics,2,81.32,Cash,2022-12-19,Metrocity
Female,20,Books,2,30.3,Debit Card,2022-08-11,Mall of Istanbul
Female,29,Technology,4,4200.0,Cash,2021-01-13,Zorlu Center
Male,40,Clothing,3,900.24,Cash,2021-11-30,Mall of Istanbul
Female,29,Food & Beverage,2,10.46,Debit Card,2021-03-27,Metrocity
Female,35,Clothing,3,900.24,Credit Card,2022-07-30,Istinye Park
Male,57,Clothing,1,300.08,Credit Card,2021-12-28,Mall of Istanbul
Female,56,Clothing,4,1200.32,Cash,2022-12-12,Metropol AVM
