invoice_no,customer_id,gender,age,category,quantity,Price,payment_method,Datetime,shopping_mall
I227913,C555387,Male,64,Clothing,1,300.08,Debit Card,2022-12-25,Kanyon
I183406,C194507,Female,32,Shoes,2,1200.34,Cash,2023-02-28,Metrocity
I852099,C121633,Male,53,Food & Beverage,1,5.23,Debit Card,2022-04-16,Kanyon
I282786,C326965,Female,35,Toys,4,143.36,Cash,2022-12-18,Emaar Square Mall
I300354,C261296,Female,32,Cosmetics,1,40.66,Debit Card,2021-09-17,Metrocity
I278245,C201684,Female,52,Clothing,4,1200.32,Credit Card,2021-04-29,Mall of Istanbul
I185295,C221149,Male,35,Clothing,3,900.24,Cash,2021-06-25,Kanyon
I185539,C316766,Female,29,Food & Beverage,4,20.92,Credit Card,2021-11-28,Kanyon
I202869,C597043,Male,33,Clothing,4,1200.32,Cash,2021-02-25,Mall of Istanbul
I332992,C135536,Female,25,Food & Beverage,2,10.46,Debit Card,2021-02-22,Istinye Park
I762648,C476697,Male,35,Clothing,3,900.24,Cash,2022-04-26,Mall of Istanbul
I133192,C155972,Female,22,Technology,5,5250.0,Credit Card,2022-06-27,Emaar Square Mall
I331201,C922605,Male,66,Cosmetics,1,40.66,Cash,2021-10-14,Forum Istanbul
I268107,C913313,Female,24,Clothing,1,300.08,Cash,2021-10-17,Kanyon
I191097,C272210,Male,42,Toys,3,107.52,Credit Card,2021-04-26,Kanyon
I172953,C283340,Female,47,Clothing,2,600.16,Debit Card,2021-12-28,Metrocity
I248778,C310541,Male,56,Cosmetics,4,162.64,Debit Card,2022-08-24,Mall of Istanbul
I232701,C263594,Male,53,Clothing,5,1500.4,Credit Card,2022-01-21,Forum Istanbul
I797581,C138548,Female,47,Toys,4,143.36,Cash,2022-12-25,Mall of Istanbul
I249584,C435352,Female,18,Shoes,3,1800.51,Cash,2022-03-28,Metrocity
I433288,C156770,Female,65,Technology,5,5250.0,Debit Card,2022-07-14,Metrocity
I204081,C298267,Male,65,Shoes,4,2400.68,Cash,2022-05-24,Zorlu Center
I314982,C153694,Male,47,Cosmetics,1,40.66,Cash,2021-10-20,Kanyon
I241547,C132020,Female,30,Shoes,1,600.17,Credit Card,2021-08-29,Istinye Park
I790352,C210968,Female,46,Cosmetics,1,40.66,Credit Card,2022-06-30,Metropol AVM
I517729,C285433,Male,19,Food & Beverage,3,15.69,Cash,2021-12-15,Mall of Istanbul
I290524,C262479,Female,53,Food & Beverage,4,20.92,Cash,2022-02-28,Cevahir AVM
I126738,C196389,Female,24,Food & Beverage,1,5.23,Credit Card,2022-06-21,Istinye Park
I121737,C247475,Female,50,Clothing,4,1200.32,Debit Card,2021-04-24,Mall of Istanbul
I307029,C205859,Male,46,Cosmetics,2,81.32,Cash,2022-07-16,Mall of Istanbul
I198155,C178829,Female,66,Clothing,4,1200.32,Credit Card,2022-06-25,Kanyon
I116673,C181304,Female,61,Cosmetics,5,203.3,Credit Card,2021-03-14,Metrocity
I115593,C236330,Male,52,Cosmetics,3,121.98,Cash,2022-09-28,Metropol AVM
I320344,C100333,Male,32,Clothing,5,1500.4,Credit Card,2021-02-25,Kanyon
I225915,C196955,Female,18,Clothing,2,600.16,Cash,2021-11-17,Metropol AVM
I129041,C271857,Female,20,Food & Beverage,1,5.23,Debit Card,2022-12-16,Kanyon
I860822,C256762,Male,23,Cosmetics,1,40.66,Cash,2022-12-26,Zorlu Center
I238047,C730017,Female,63,Clothing,5,1500.4,Debit Card,2021-11-26,Viaport Outlet
I872392,C194922,Female,65,Cosmetics,4,162.64,Cash,2021-05-24,Kanyon
I220519,C324612,Female,29,Toys,3,107.52,Credit Card,2022-06-22,Mall of Istanbul
I134304,C102409,Male,20,Cosmetics,4,162.64,Cash,2021-06-29,Metropol AVM
I219700,C651180,Female,25,Clothing,5,1500.4,Credit Card,2021-10-21,Kanyon
I141683,C135070,Female,31,Food & Beverage,3,15.69,Credit Card,2022-11-27,Mall of Istanbul
I157039,C140619,Male,66,Souvenir,5,58.65,Credit Card,2022-01-31,Zorlu Center
I886158,C830472,Female,33,Clothing,3,900.24,Cash,2022-07-14,Emaar Square Mall
I120104,C245271,Female,39,Clothing,1,300.08,Credit Card,2023-01-23,Mall of Istanbul
I182236,C162000,Female,24,Shoes,3,1800.51,Credit Card,2021-12-29,Metrocity
I299307,C268837,Female,22,Toys,1,35.84,Cash,2023-02-14,Metrocity
I242932,C231140,Male,44,Souvenir,5,58.65,Cash,2021-01-20,Kanyon
I158888,C318644,Female,24,Clothing,1,300.08,Cash,2021-10-21,Mall of Istanbul
I675639,C165100,Female,35,Cosmetics,4,162.64,Cash,2022-01-27,Mall of Istanbul
I449374,C112467,Female,66,Souvenir,3,35.19,Cash,2021-04-28,Metropol AVM
I336190,C105782,Male,62,Food & Beverage,3,15.69,Cash,2021-03-13,Mall of Istanbul
I204457,C312023,Female,28,Books,3,45.45,Cash,2021-10-31,Forum Istanbul
I177424,C321702,Male,65,Food & Beverage,1,5.23,Cash,2022-03-24,Kanyon
I330017,C935412,Female,46,Food & Beverage,5,26.15,Cash,2022-05-23,Emaar Square Mall
I293091,C522337,Male,54,Shoes,2,1200.34,Credit Card,2021-09-19,Metrocity
I304121,C167654,Female,34,Clothing,5,1500.4,Debit Card,2021-02-27,Istinye Park
I222778,C205225,Female,29,Books,5,75.75,Credit Card,2022-12-19,Kanyon
I329771,C155833,Female,23,Technology,3,3150.0,Credit Card,2023-02-14,Kanyon
I289363,C103126,Male,23,Souvenir,4,46.92,Credit Card,2022-06-25,Metrocity
I473028,C284210,Female,40,Clothing,1,300.08,Cash,2022-03-23,Mall of Istanbul
I132346,C267495,Male,25,Toys,1,35.84,Cash,2021-11-13,Mall of Istanbul
I159515,C125424,Female,39,Food & Beverage,2,10.46,Debit Card,2023-02-27,Kanyon
I647067,C115191,Female,34,Clothing,4,1200.32,Cash,2022-05-28,Istinye Park
I339027,C220115,Female,20,Clothin,2,600.16,Credit Card,2021-12-31,Zorlu Center
I107800,C893291,Male,69,Food & Beverage,4,20.92,Credit Card,2021-09-19,Emaar Square Mall
I211054,C448426,Female,64,Technology,1,1050.0,Debit Card,2022-08-22,Metrocity
I302523,C299814,Female,21,Food & Beverage,5,26.15,Credit Card,2022-10-23,Istinye Park
I293161,C600675,Female,23,Toys,5,179.2,Cash,2022-03-28,Metropol AVM
I302418,C210509,Female,36,Technology,2,2100.0,Cash,2022-09-27,Metropol AVM
I114420,C670355,Male,66,Toys,2,71.68,Cash,2023-01-14,Metrocity
I276963,C122564,Female,40,Shoes,4,2400.68,Credit Card,2021-08-20,Metrocity
I328822,C230641,Male,51,Food & Beverage,3,15.69,Cash,2022-06-13,Metrocity
I265134,C269293,Male,34,Shoes,5,3000.85,Cash,2022-09-18,Kanyon
I209903,C132530,Female,36,Food & Beverage,4,20.92,Debit Card,2022-06-19,Forum Istanbul
I157083,C320658,Male,40,Technology,4,4200.0,Cash,2021-06-25,Metropol AVM
I793456,C111279,Female,68,Shoes,3,1800.51,Debit Card,2021-09-28,Metrocity
I450963,C186710,Male,62,Clothing,2,600.16,Cash,2021-06-24,Mall of Istanbul
I148589,C307801,Female,31,Clothing,4,1200.32,Credit Card,2022-06-17,Metrocity
I233300,C112038,Female,58,Clothing,1,300.08,Cash,2021-02-26,Mall of Istanbul
I333543,C223161,Male,26,Shoes,5,3000.85,Credit Card,2022-11-21,Mall of Istanbul
I305370,C688931,Female,52,Clothing,2,600.16,Cash,2022-01-18,Metrocity
I295458,C116540,Female,33,Food & Beverage,2,10.46,Cash,2021-05-22,Kanyon
I332776,C247413,Male,66,Clothing,3,900.24,Debit Card,2022-02-21,Istinye Park
I446159,C147678,Female,51,Clothing,3,900.24,Cash,2021-07-18,Mall of Istanbul
I141294,C132084,Female,34,Food & Beverage,3,15.69,Cash,2021-11-28,Cevahir AVM
I520430,C203569,Male,60,Food & Beverage,4,20.92,Cash,2021-05-25,Kanyon
I299461,C131528,Female,45,Cosmetics,2,81.32,Debit Card,2021-03-17,Zorlu Center
I402530,C234842,Female,48,Clothing,4,1200.32,Credit Card,2022-11-28,Metrocity
I633563,C168601,Female,25,Cosmetics,1,40.66,Debit Card,2021-05-21,Istinye Park
I861967,C327786,Female,41,Toys,3,107.52,Credit Card,2021-03-20,Viaport Outlet
I690620,C457407,Female,38,Food & Beverage,2,10.46,Credit Card,2022-03-31,Mall of Istanbul
I814868,C123502,Female,53,Cosmetics,4,162.64,Credit Card,2022-05-30,Kanyon
I263550,C206231,Female,64,Clothing,1,300.08,Cash,2021-11-27,Zorlu Center
I685727,C251902,Male,24,Books,4,60.6,Credit Card,2022-07-14,Metropol AVM
I316297,C190346,Male,62,Cosmetics,4,162.64,Credit Card,2022-05-26,Metropol AVM
I214086,C432627,Male,37,Clothing,2,600.16,Cash,2022-10-31,Mall of Istanbul
I398747,C611668,Female,57,Cosmetics,4,162.64,Debit Card,2021-05-31,Viaport Outlet
I151728,C890726,Male,19,Toys,3,107.52,Debit Card,2022-02-15,Istinye Park
I312492,C111819,Male,47,Cosmetics,2,81.32,Cash,2022-03-13,Forum Istanbul
I154281,C127798,Female,27,Cosmetics,3,121.98,Debit Card,2021-05-17,Mall of Istanbul
I180021,C128646,Female,48,Clothing,4,1200.32,Cash,2022-05-26,Kanyon
I159182,C299670,Male,56,Technology,4,4200.0,Cash,2022-11-25,Metrocity
I226102,C185002,Male,64,Toys,1,35.84,Debit Card,2022-11-28,Mall of Istanbul
I309235,C648138,Female,37,Clothing,5,1500.4,Cash,2022-05-16,Metrocity
I906562,C278946,Male,39,Clothing,1,300.08,Cash,2021-05-22,Metrocity
I224015,C175679,Female,62,Shoes,2,1200.34,Credit Card,2022-10-30,Mall of Istanbul
I802737,C216801,Female,33,Cosmetics,5,203.3,Credit Card,2021-12-28,Mall of Istanbul
I980355,C260903,Female,38,Toys,5,179.2,Debit Card,2021-01-23,Metropol AVM
I861335,C169123,Female,35,Clothing,5,1500.4,Debit Card,2022-11-14,Mall of Istanbul
I117030,C269773,Female,59,Toys,4,143.36,Cash,2021-04-13,Metrocity
I156121,C334022,Male,64,Toys,2,71.68,Cash,2021-07-23,Zorlu Center
I455470,C100281,Female,38,Clothing,2,600.16,Debit Card,2023-02-26,Kanyon
I157754,C999240,Female,62,Clothing,2,600.16,Cash,2021-03-18,Mall of Istanbul
I151708,C601424,Female,31,Shoes,1,600.17,Credit Card,2021-05-31,Kanyon
I326627,C338976,Female,46,Clothing,4,1200.32,Credit Card,2021-12-21,Mall of Istanbul
I133630,C109921,Female,21,Shoes,5,3000.85,Cash,2021-12-14,Kanyon
I600864,C467808,Male,29,Cosmetics,2,81.32,Credit Card,2022-10-26,Metropol AVM
I258506,C205421,Female,30,Souvenir,1,11.73,Credit Card,2022-04-21,Mall of Istanbul
I173689,C627936,Female,30,Cosmetics,1,40.66,Credit Card,2021-08-22,Mall of Istanbul
I448561,C131390,Female,23,Cosmetics,3,121.98,Debit Card,2022-10-27,Mall of Istanbul
I230038,C196068,Female,27,Clothing,3,900.24,Debit Card,2021-09-13,Mall of Istanbul
I201687,C623276,Male,29,Books,4,60.6,Credit Card,2021-08-30,Mall of Istanbul
I952934,C204249,Female,55,Clothing,4,1200.32,Debit Card,2022-08-13,Mall of Istanbul
I140473,C208680,Female,36,Shoes,2,1200.34,Cash,2021-11-18,Metropol AVM
I400174,C310301,Female,47,Toys,4,143.36,Debit Card,2022-04-16,Metrocity
I521734,C205271,Female,49,Cosmetics,4,162.64,Cash,2021-01-15,Mall of Istanbul
I595582,C282375,Female,66,Clothing,2,600.16,Cash,2021-01-25,Kanyon
I101282,C317379,Female,50,Clothing,3,900.24,Cash,2022-06-30,Viaport Outlet
I308537,C789246,Female,35,Clothing,4,1200.32,Debit Card,2022-10-24,Mall of Istanbul
I255067,C206499,Male,67,Clothing,5,1500.4,Cash,2022-10-19,Emaar Square Mall
I250013,C207323,Female,52,Books,5,75.75,Cash,2022-12-20,Mall of Istanbul
I279843,C170516,Male,56,Clothing,3,900.24,Cash,2022-03-28,Forum Istanbul
I835872,C156390,Female,61,Technology,3,3150.0,Credit Card,2021-01-17,Metropol AVM
I149125,C998643,Male,58,Clothing,3,900.24,Credit Card,2021-01-19,Kanyon
I683684,C241433,Female,57,Shoes,4,2400.68,Cash,2022-10-23,Metropol AVM
I281671,C174377,Male,42,Clothing,5,1500.4,Credit Card,2022-07-31,Mall of Istanbul
I131002,C277994,Male,28,Clothing,3,900.24,Cash,2022-12-16,Istinye Park
I449489,C265637,Female,25,Souvenir,1,11.73,Debit Card,2021-05-29,Istinye Park
I592155,C764349,Male,27,Food & Beverage,5,26.15,Cash,2021-05-28,Metrocity
I156069,C186477,Female,34,Clothing,3,900.24,Credit Card,2023-02-21,Mall of Istanbul
I338493,C289951,Female,35,Food & Beverage,4,20.92,Credit Card,2022-10-23,Kanyon
I280212,C737032,Male,31,Clothing,3,900.24,Cash,2021-07-24,Istinye Park
I932479,C285894,Male,58,Toys,3,107.52,Debit Card,2022-12-30,Istinye Park
I646900,C205031,Male,28,Clothing,1,300.08,Credit Card,2021-06-27,Cevahir AVM
I249591,C193056,Female,30,Clothing,2,600.16,Credit Card,2023-02-21,Metrocity
I294808,C228925,Male,22,Cosmetics,1,40.66,Credit Card,2022-06-28,Zorlu Center
I271805,C164998,Female,49,Technology,5,5250.0,Credit Card,2021-02-19,Kanyon
I466065,C108260,Male,49,Technologi,4,4200.0,Cash,2021-06-15,Zorlu Center
I240940,C108277,Male,53,Clothing,5,1500.4,Cash,2022-04-18,Kanyon
I883979,C154370,Female,63,Cosmetics,4,162.64,Credit Card,2022-10-28,Metropol AVM
I155508,C188311,Male,66,Clothing,1,300.08,Cash,2021-03-18,Zorlu Center
I229143,C101010,Female,46,Shoes,5,3000.85,Credit Card,2021-05-29,Cevahir AVM
I986809,C815507,Male,37,Clothing,3,900.24,Cash,2021-04-16,Metropol AVM
I250875,C150302,Male,46,Technology,4,4200.0,Credit Card,2022-12-27,Cevahir AVM
I187719,C171472,Female,53,Technology,5,5250.0,Cash,2022-01-26,Metrocity
I282483,C145141,Male,19,Shoes,5,3000.85,Debit Card,2022-05-30,Mall of Istanbul
I282707,C278882,Female,50,Food & Beverage,2,10.46,Cash,2021-04-25,Viaport Outlet
I689926,C595117,Female,18,Cosmetics,2,81.32,Cash,2021-03-15,Metrocity
I106470,C293605,Male,35,Toys,2,71.68,Cash,2021-07-18,Metropol AVM
I191838,C311376,Female,25,Cosmetics,2,81.32,Debit Card,2023-01-18,Istinye Park
I251671,C199273,Male,53,Cosmetics,4,162.64,Cash,2021-07-31,Mall of Istanbul
I262573,C102478,Male,67,Toys,1,35.84,Cash,2023-01-28,Cevahir AVM
I724968,C116497,Female,30,Cosmetics,5,203.3,Cash,2023-02-14,Viaport Outlet
I283476,C494503,Female,18,Food & Beverage,3,15.69,Cash,2022-05-26,Kanyon
I244584,C928550,Female,57,Clothing,1,300.08,Cash,2021-08-29,Mall of Istanbul
I191010,C334760,Female,51,Toys,3,107.52,Cash,2023-02-20,Forum Istanbul
I184634,C257701,Male,68,Cosmetics,5,203.3,Debit Card,2021-10-31,Cevahir AVM
I284199,C210690,Male,20,Books,1,15.15,Credit Card,2021-10-14,Emaar Square Mall
I306951,C785828,Female,41,Shoes,2,1200.34,Credit Card,2022-01-23,Metropol AVM
I241999,C316511,Male,63,Clothing,3,900.24,Credit Card,2022-12-25,Zorlu Center
I162131,C295967,Female,22,Clothing,5,1500.4,Debit Card,2022-09-14,Kanyon
I105585,C261581,Female,25,Clothing,1,300.08,Debit Card,2021-03-14,Mall of Istanbul
I668706,C273684,Female,47,Clothing,5,1500.4,Credit Card,2021-09-13,Emaar Square Mall
I128890,C166265,Male,39,Technology,2,2100.0,Credit Card,2023-01-23,Metrocity
I964270,C163972,Female,51,Clothing,4,1200.32,Cash,2021-04-17,Kanyon
I283968,C279423,Female,47,Souvenir,5,58.65,Cash,2021-12-15,Metropol AVM
I166294,C931347,Male,26,Clothing,2,600.16,Credit Card,2023-02-15,Forum Istanbul
I332113,C332519,Male,19,Clothing,2,600.16,Cash,2021-09-22,Cevahir AVM
I275775,C153525,Female,28,Technology,3,3150.0,Cash,2023-01-20,Metrocity
I116122,C227207,Male,29,Cosmetics,4,162.64,Cash,2021-11-25,Emaar Square Mall
I216633,C323255,Female,23,Clothing,3,900.24,Cash,2022-12-26,Metrocity
I184972,C209023,Male,55,Food & Beverage,5,26.15,Cash,2021-03-17,Viaport Outlet
I229973,C194889,Female,29,Clothing,4,1200.32,Credit Card,2021-10-31,Metrocity
I216619,C234402,Male,20,Food & Beverage,2,10.46,Cash,2022-03-28,Cevahir AVM
I112885,C279778,Male,24,Clothing,4,1200.32,Credit Card,2021-03-19,Istinye Park
I396995,C138327,Female,54,Food & Beverage,2,10.46,Cash,2021-04-23,Cevahir AVM
I278081,C154890,Female,41,Technology,3,3150.0,Cash,2022-07-18,Istinye Park
I838035,C724409,Male,24,Clothing,4,1200.32,Cash,2022-12-30,Istinye Park
I152910,C258418,Female,68,Souvenir,5,58.65,Credit Card,2021-05-14,Kanyon
I214574,C236591,Female,69,Books,2,30.3,Credit Card,2022-06-13,Mall of Istanbul
I112839,C552373,Female,60,Clothing,3,900.24,Credit Card,2022-01-30,Metropol AVM
I107981,C238179,Male,65,Clothing,3,900.24,Credit Card,2021-11-20,Mall of Istanbul
I242118,C487541,Female,18,Cosmetics,3,121.98,Credit Card,2021-03-27,Metropol AVM
I115920,C110727,Male,61,Food & Beverage,1,5.23,Credit Card,2021-02-27,Emaar Square Mall
I183964,C205199,Female,37,Clothing,4,1200.32,Credit Card,2022-11-18,Metrocity
I336047,C158331,Female,25,Technologi,3,3150.0,Cash,2022-12-13,Metrocity
I169755,C273770,Female,19,Clothing,3,900.24,Debit Card,2022-02-23,Kanyon
I112231,C162017,Male,61,Cosmetics,1,40.66,Cash,2021-05-25,Metrocity
I296198,C104923,Male,44,Food & Beverage,4,20.92,Cash,2021-11-23,Mall of Istanbul
I107481,C194154,Female,35,Clothing,2,600.16,Debit Card,2022-01-20,Istinye Park
I115889,C282843,Male,45,Clothing,1,300.08,Debit Card,2021-08-21,Istinye Park
I152882,C200450,Female,68,Clothing,2,600.16,Credit Card,2022-07-29,Metrocity
I272662,C280424,Male,23,Souvenir,1,11.73,Credit Card,2021-11-25,Kanyon
I226481,C256834,Female,58,Clothing,1,300.08,Cash,2022-02-25,Mall of Istanbul
I112987,C215394,Female,41,Clothing,2,600.16,Cash,2022-06-16,Kanyon
I198698,C281268,Female,29,Clothing,1,300.08,Debit Card,2023-01-15,Metropol AVM
I238994,C239464,Male,66,Cosmetics,5,203.3,Cash,2021-11-17,Mall of Istanbul
I919762,C273225,Female,55,Cosmetics,3,121.98,Cash,2021-09-28,Cevahir AVM
I215049,C220998,Female,52,Technology,4,4200.0,Debit Card,2021-11-14,Kanyon
I257005,C311439,Male,31,Shoes,5,3000.85,Credit Card,2021-07-27,Kanyon
I106775,C391465,Male,31,Toys,2,71.68,Cash,2022-03-15,Cevahir AVM
I233764,C739754,Female,22,Clothing,5,1500.4,Cash,2022-04-18,Metrocity
I464162,C675140,Male,47,Toys,3,107.52,Credit Card,2022-01-24,Metrocity
I135523,C136559,Male,62,Shoes,1,600.17,Credit Card,2022-03-21,Mall of Istanbul
I324782,C105127,Female,59,Food & Beverage,1,5.23,Debit Card,2022-11-24,Istinye Park
I218183,C114105,Male,52,Shoes,4,2400.68,Debit Card,2021-10-19,Kanyon
I163267,C847873,Female,33,Toys,2,71.68,Debit Card,2021-05-24,Metropol AVM
I252856,C259581,Male,66,Toys,1,35.84,Debit Card,2022-10-26,Istinye Park
I351654,C318175,Female,34,Toys,4,143.36,Credit Card,2021-07-24,Kanyon
I789422,C257159,Female,31,Clothing,2,600.16,Cash,2022-12-27,Mall of Istanbul
I143637,C698896,Male,38,Food & Beverage,5,26.15,Credit Card,2021-06-29,Mall of Istanbul
I226939,C133511,Male,47,Shoes,3,1800.51,Cash,2022-07-15,Emaar Square Mall
I277475,C454284,Female,23,Clothing,3,900.24,Cash,2021-05-31,Mall of Istanbul
I216998,C320578,Female,21,Clothing,1,300.08,Credit Card,2021-12-19,Metrocity
I909498,C105316,Male,36,Cosmetics,5,203.3,Cash,2021-01-25,Viaport Outlet
I216437,C360557,Female,25,Cosmetics,5,203.3,Debit Card,2021-08-13,Forum Istanbul
I126484,C232687,Female,59,Clothing,4,1200.32,Cash,2022-02-23,Kanyon
I136278,C184224,Male,50,Shoes,5,3000.85,Credit Card,2021-03-13,Kanyon
I141900,C147814,Female,62,Food & Beverage,5,26.15,Debit Card,2022-08-14,Metrocity
I981520,C602769,Male,67,Clothing,3,900.24,Credit Card,2021-07-19,Mall of Istanbul
I295490,C319363,Female,26,Books,5,75.75,Debit Card,2022-08-31,Mall of Istanbul
I246441,C351466,Male,38,Cosmetics,1,40.66,Debit Card,2021-07-30,Mall of Istanbul
I291121,C148900,Male,19,Food & Beverage,5,26.15,Credit Card,2022-08-24,Kanyon
I264638,C274117,Female,26,Shoes,3,1800.51,Cash,2023-01-23,Mall of Istanbul
I207888,C162512,Female,52,Cosmetics,5,203.3,Cash,2021-12-26,Viaport Outlet
I146277,C101271,Female,37,Food & Beverage,4,20.92,Credit Card,2021-12-24,Kanyon
I473087,C121368,Female,23,Clothing,4,1200.32,Cash,2021-07-23,Kanyon
I592797,C102638,Female,54,Toys,3,107.52,Credit Card,2022-09-16,Cevahir AVM
I615365,C140852,Female,19,Toys,3,107.52,Credit Card,2021-07-19,Mall of Istanbul
I751413,C366617,Male,18,Food & Beverage,3,15.69,Credit Card,2022-12-24,Kanyon
I237413,C122512,Female,46,Shoes,4,2400.68,Cash,2022-05-16,Mall of Istanbul
I892545,C291607,Female,52,Souvenir,2,23.46,Cash,2022-05-22,Istinye Park
I225525,C130977,Female,53,Shoes,5,3000.85,Credit Card,2021-05-16,Mall of Istanbul
I860949,C250355,Female,45,Cosmetics,4,162.64,Debit Card,2022-04-19,Cevahir AVM
I325443,C290805,Male,37,Clothing,1,300.08,Cash,2022-09-25,Kanyon
I233919,C129720,Female,51,Clothing,5,1500.4,Cash,2022-03-29,Metrocity
I244586,C115273,Female,48,Souvenir,3,35.19,Credit Card,2021-04-29,Viaport Outlet
I171371,C215859,Male,47,Cosmetics,3,121.98,Credit Card,2021-11-16,Metrocity
I930594,C109322,Female,66,Toys,5,179.2,Credit Card,2021-11-25,Metropol AVM
I186813,C318994,Male,26,Books,3,45.45,Cash,2021-12-31,Forum Istanbul
I621872,C230726,Female,41,Shoes,4,2400.68,Cash,2022-08-22,Mall of Istanbul
I190865,C260377,Male,29,Clothing,5,1500.4,Cash,2022-03-21,Cevahir AVM
I975264,C924269,Female,39,Food & Beverage,1,5.23,Cash,2022-12-19,Mall of Istanbul
I763621,C646710,Male,30,Technology,1,1050.0,Cash,2021-10-23,Mall of Istanbul
I211964,C739599,Female,58,Clothing,3,900.24,Debit Card,2021-06-21,Mall of Istanbul
I293197,C201674,Female,61,Clothing,2,600.16,Debit Card,2021-06-28,Emaar Square Mall
I235315,C332736,Female,26,Clothing,4,1200.32,Cash,2021-04-27,Istinye Park
I148372,C274456,Male,52,Food & Beverage,2,10.46,Debit Card,2022-12-19,Kanyon
I164043,C247918,Female,24,Food & Beverage,2,10.46,Debit Card,2021-04-13,Mall of Istanbul
I796792,C216893,Male,62,Souvenir,1,11.73,Cash,2022-01-13,Cevahir AVM
I312342,C260505,Female,19,Cosmetics,5,203.3,Cash,2022-01-22,Metrocity
I394044,C108674,Female,56,Souvenir,4,46.92,Debit Card,2021-02-27,Kanyon
I330201,C146552,Male,57,Technology,5,5250.0,Debit Card,2022-07-26,Kanyon
I552831,C143469,Female,61,Cosmetics,2,81.32,Cash,2023-02-20,Zorlu Center
I391414,C204952,Female,65,Toys,5,179.2,Credit Card,2022-12-25,Kanyon
I786414,C113290,Male,45,Cosmetics,3,121.98,Credit Card,2021-11-20,Mall of Istanbul
I835216,C301506,Male,31,Clothing,2,600.16,Cash,2021-04-16,Mall of Istanbul
I265225,C699429,Female,21,Toys,4,143.36,Cash,2023-02-21,Forum Istanbul
I204999,C603711,Female,53,Food & Beverage,2,10.46,Credit Card,2021-09-13,Metropol AVM
I901666,C244468,Female,38,Shoes,4,2400.68,Cash,2022-05-28,Metropol AVM
I164685,C644529,Male,67,Food & Beverage,3,15.69,Credit Card,2022-08-15,Istinye Park
I151026,C492842,Female,51,Clothing,2,600.16,Credit Card,2022-04-19,Istinye Park
I220939,C331149,Female,46,Toys,1,35.84,Cash,2022-04-26,Mall of Istanbul
I317782,C807612,Female,28,Clothing,5,1500.4,Debit Card,2021-04-29,Istinye Park
I232929,C336574,Male,52,Clothing,3,900.24,Cash,2021-02-13,Kanyon
I332972,C301223,Female,47,Shoes,1,600.17,Cash,2022-04-25,Mall of Istanbul
I169684,C226252,Male,21,Food & Beverage,1,5.23,Debit Card,2021-07-28,Zorlu Center
I116002,C141888,Female,28,Shoes,2,1200.34,Credit Card,2021-03-21,Kanyon
I283953,C605123,Female,41,Food & Beverage,1,5.23,Cash,2021-07-22,Mall of Istanbul
I186328,C132953,Male,38,Clothing,1,300.08,Cash,2023-01-14,Forum Istanbul
I157200,C159727,Female,55,Clothing,3,900.24,Credit Card,2021-01-23,Mall of Istanbul
I553995,C170939,Male,34,Cosmetics,4,162.64,Debit Card,2021-05-29,Mall of Istanbul
